,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,2.3680,0.04,7.0958
1,,0.52,2.1925,0.10,7.9373
2,,0.56,2.2448,0.10,5.4349
3,,0.67,1.5415,0.04,6.7910
4,,0.76,1.2548,0.17,10.8612
5,,0.80,1.1805,0.17,9.4796
6,,0.84,1.0714,0.17,10.5466
7,created new SGD optimizer with LR: 0.00100000000000000002,0.88,0.9110,0.16,8.4445
8,,0.90,0.8934,0.16,8.4947
9,,0.91,0.8617,0.16,8.6048
10,,0.95,0.7467,0.16,8.6049
11,,0.94,0.7310,0.16,7.1042
12,,0.97,0.7214,0.16,8.7465
13,,0.96,0.7215,0.16,8.5945
14,,0.95,0.7537,0.16,8.7270
15,created new SGD optimizer with LR: 0.0001,0.98,0.6788,0.16,8.6415
16,,0.97,0.6978,0.16,8.7685
17,,0.99,0.6365,0.16,10.7572
18,,0.97,0.7053,0.16,8.6027
19,,0.99,0.6754,0.16,7.5174
20,,0.96,0.7184,0.16,9.2945
21,,0.98,0.6915,0.16,8.1643
22,,0.97,0.6961,0.16,8.8623
23,created new SGD optimizer with LR: 0.00001,0.97,0.7117,0.16,9.1294
24,,0.95,0.7297,0.16,9.1166
25,,0.97,0.6812,0.16,8.1218
26,,0.95,0.7073,0.16,9.3099
27,,0.99,0.6686,0.16,9.0675
28,,0.97,0.6691,0.16,8.1894
29,,0.97,0.6655,0.16,8.9982
30,,0.99,0.6522,0.16,7.2693
31,created new SGD optimizer with LR: 0.000001,0.98,0.6717,0.16,9.0462
32,,0.95,0.6985,0.16,8.6727
33,,0.98,0.6723,0.16,8.1394
34,,0.98,0.6634,0.16,9.6078
35,,0.97,0.6933,0.16,6.5755
36,,0.98,0.6588,0.16,9.2128
37,,0.97,0.6819,0.16,9.2611
38,,0.97,0.6931,0.16,7.8667
39,created new SGD optimizer with LR: 0.0000001,0.97,0.6429,0.16,8.6789
40,,0.96,0.6968,0.16,8.2356
41,,0.98,0.6706,0.16,8.8249
42,,0.97,0.6954,0.16,8.6278
43,,0.99,0.6553,0.16,8.3064
44,,0.95,0.7123,0.16,8.4035
45,,0.96,0.7046,0.16,9.4746
46,,0.98,0.6631,0.16,8.4755
47,created new SGD optimizer with LR: 0.00000001,0.99,0.6159,0.16,8.3341
48,,0.99,0.6590,0.16,9.2682
49,,0.95,0.7225,0.16,10.0048
