,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.5215,0.43,2.2753
1,,0.56,1.2461,0.43,1.8610
2,,0.58,1.1916,0.24,7.0348
3,,0.65,0.9904,0.24,5.4570
4,,0.70,0.8354,0.25,4.4764
5,,0.77,0.6633,0.24,6.8965
6,,0.86,0.4714,0.24,8.1141
7,created new SGD optimizer with LR: 0.00100000000000000002,0.86,0.4264,0.14,6.7645
8,,0.87,0.4612,0.25,6.1317
9,,0.91,0.3026,0.24,7.3489
10,,0.94,0.2576,0.25,7.5917
11,,0.94,0.2400,0.25,7.4268
12,,0.95,0.2217,0.27,7.0590
13,,0.96,0.2202,0.26,7.5690
14,,0.97,0.1755,0.24,8.2943
15,created new SGD optimizer with LR: 0.0001,0.95,0.2248,0.28,6.8111
16,,0.95,0.2302,0.20,7.0597
17,,0.96,0.2181,0.26,6.9818
18,,0.98,0.1660,0.27,7.3699
19,,0.97,0.1826,0.25,7.3168
20,,0.96,0.2252,0.27,7.3186
21,,0.97,0.1911,0.23,7.9346
22,,0.95,0.2024,0.25,8.1647
23,created new SGD optimizer with LR: 0.00001,0.96,0.1852,0.23,6.6525
24,,0.98,0.1636,0.25,7.9786
25,,0.97,0.1962,0.22,7.6531
26,,0.95,0.2003,0.27,6.5581
27,,0.97,0.1933,0.23,7.5157
28,,0.97,0.1735,0.26,7.4281
29,,0.97,0.1937,0.24,7.7511
30,,0.96,0.1911,0.25,7.8626
31,created new SGD optimizer with LR: 0.000001,0.97,0.1864,0.26,7.6570
32,,0.95,0.2234,0.24,7.9751
33,,0.95,0.2312,0.26,6.5883
34,,0.94,0.2452,0.27,7.7295
35,,0.97,0.1962,0.25,7.0854
36,,0.96,0.2238,0.26,8.5940
37,,0.98,0.1875,0.26,6.9633
38,,0.96,0.2117,0.27,7.6413
39,created new SGD optimizer with LR: 0.0000001,0.95,0.2216,0.26,7.3571
40,,0.96,0.1978,0.25,7.0978
41,,0.98,0.1870,0.26,7.2788
42,,0.95,0.2131,0.25,8.2645
43,,0.98,0.2051,0.25,6.9453
44,,0.97,0.1657,0.20,6.9604
45,,0.98,0.1892,0.25,7.5243
46,,0.98,0.1620,0.26,7.4118
47,created new SGD optimizer with LR: 0.00000001,0.99,0.1539,0.26,7.7262
48,,0.97,0.1805,0.25,7.0826
49,,0.94,0.2284,0.25,7.4583
