,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4624,0.24,3.9898
1,,0.56,1.2774,0.24,3.1597
2,,0.62,1.0483,0.43,1.7040
3,,0.69,0.9073,0.28,2.4849
4,,0.77,0.6798,0.42,1.9044
5,,0.85,0.4580,0.17,2.2525
6,,0.86,0.4233,0.16,5.9243
7,created new SGD optimizer with LR: 0.00100000000000000002,0.87,0.4231,0.26,2.4451
8,,0.90,0.3121,0.42,1.8521
9,,0.90,0.2875,0.09,3.0531
10,,0.95,0.1540,0.42,1.7005
11,,0.97,0.1265,0.29,1.7545
12,,0.96,0.1205,0.22,2.0004
13,,0.98,0.0967,0.22,1.9884
14,,0.96,0.0885,0.48,1.7500
15,created new SGD optimizer with LR: 0.0001,0.98,0.0813,0.20,2.2330
16,,0.98,0.0823,0.42,1.5641
17,,0.99,0.0671,0.26,1.7234
18,,0.99,0.0588,0.27,1.7370
19,,0.99,0.0774,0.12,2.2081
20,,0.98,0.0781,0.28,1.8967
21,,0.98,0.0812,0.12,2.1992
22,,0.98,0.0519,0.26,1.7675
23,created new SGD optimizer with LR: 0.00001,0.97,0.0685,0.42,1.6394
24,,0.97,0.0915,0.36,2.1473
25,,0.99,0.0644,0.17,2.0436
26,,0.98,0.0744,0.30,1.7031
27,,0.98,0.0735,0.17,2.0024
28,,0.98,0.0727,0.50,1.7571
29,,0.99,0.0661,0.10,2.6695
30,,0.99,0.0475,0.14,2.2402
31,created new SGD optimizer with LR: 0.000001,0.96,0.0983,0.21,2.0504
32,,0.98,0.0706,0.42,2.1138
33,,0.99,0.0450,0.12,2.3089
34,,0.99,0.0631,0.47,1.5970
35,,0.98,0.0806,0.21,1.9715
36,,0.99,0.0579,0.30,1.7033
37,,0.98,0.0651,0.48,1.6113
38,,0.97,0.0630,0.21,2.2149
39,created new SGD optimizer with LR: 0.0000001,0.99,0.0580,0.10,2.2688
40,,0.98,0.0603,0.44,1.6005
41,,0.96,0.1111,0.17,2.1424
42,,0.98,0.0972,0.19,1.8489
43,,0.98,0.0521,0.43,2.0877
44,,0.99,0.0582,0.26,2.0660
45,,0.98,0.0810,0.32,2.3731
46,,0.98,0.0668,0.30,1.7855
47,created new SGD optimizer with LR: 0.00000001,0.99,0.0591,0.16,2.3786
48,,0.95,0.1553,0.41,2.0054
49,,0.99,0.0607,0.25,1.8054
