,notes,train_acc,train_loss,val_acc,val_loss
0,,0.57,1.3177,0.24,1.8622
1,,0.51,1.4376,0.42,1.9732
2,,0.51,1.3285,0.43,1.6167
3,,0.53,1.3522,0.43,1.5695
4,,0.52,1.3418,0.43,1.5807
5,,0.56,1.2805,0.07,1.8658
6,,0.52,1.3073,0.43,1.8043
7,created new Adam optimizer with LR: 0.00100000000000000002,0.56,1.2733,0.24,1.7316
8,,0.52,1.3403,0.42,1.5903
9,,0.54,1.2347,0.42,1.6119
10,,0.55,1.2031,0.43,1.6287
11,,0.55,1.2168,0.43,1.6246
12,,0.55,1.1581,0.43,1.6026
13,,0.56,1.1519,0.43,1.6330
14,,0.60,1.0631,0.43,1.6418
15,created new Adam optimizer with LR: 0.0001,0.61,1.0846,0.43,1.6190
16,,0.59,1.0870,0.43,1.6226
17,,0.63,1.0284,0.43,1.6280
18,,0.63,0.9976,0.42,1.6411
19,,0.63,1.0046,0.42,1.6270
20,,0.64,0.9641,0.42,1.6479
21,,0.62,0.9956,0.42,1.6660
22,,0.64,0.9411,0.43,1.6333
23,created new Adam optimizer with LR: 0.00001,0.62,0.9688,0.42,1.6586
24,,0.66,0.9344,0.42,1.6767
25,,0.65,0.9283,0.43,1.6694
26,,0.65,0.9217,0.43,1.6811
27,,0.62,0.9585,0.43,1.6706
28,,0.65,0.9268,0.42,1.6834
29,,0.66,0.9121,0.43,1.6868
30,,0.64,0.9267,0.43,1.7170
31,created new Adam optimizer with LR: 0.000001,0.65,0.9584,0.43,1.6891
32,,0.65,0.9341,0.43,1.6811
33,,0.65,0.9205,0.43,1.7037
34,,0.63,0.9460,0.43,1.6940
35,,0.68,0.9010,0.42,1.6671
36,,0.65,0.9308,0.43,1.6974
37,,0.65,0.9557,0.43,1.6680
38,,0.68,0.9160,0.42,1.7129
39,created new Adam optimizer with LR: 0.0000001,0.65,0.9364,0.43,1.6869
40,,0.64,0.9245,0.43,1.6994
41,,0.68,0.8750,0.43,1.6929
42,,0.64,0.9276,0.42,1.7053
43,,0.65,0.9201,0.42,1.6714
44,,0.63,0.9609,0.43,1.6678
45,,0.64,0.9693,0.42,1.6734
46,,0.63,0.9479,0.43,1.7262
47,created new Adam optimizer with LR: 0.00000001,0.67,0.8797,0.43,1.6952
48,,0.62,0.9599,0.43,1.6995
49,,0.65,0.8933,0.43,1.6684
