,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,1.5630,0.25,3.6428
1,,0.53,1.3157,0.04,3.1225
2,,0.61,1.2061,0.24,3.5342
3,,0.69,0.8880,0.04,5.5802
4,,0.67,0.8930,0.12,3.4903
5,,0.72,0.8267,0.24,4.2344
6,,0.76,0.6596,0.08,5.5385
7,created new SGD optimizer with LR: 0.00100000000000000002,0.83,0.4977,0.24,4.6987
8,,0.89,0.3761,0.15,4.1092
9,,0.91,0.3709,0.13,4.8533
10,,0.92,0.2819,0.09,4.9364
11,,0.93,0.3118,0.20,5.0836
12,,0.93,0.2972,0.23,5.7632
13,,0.93,0.2733,0.11,5.2925
14,,0.95,0.2416,0.11,5.2865
15,created new SGD optimizer with LR: 0.0001,0.95,0.2179,0.18,5.8411
16,,0.95,0.2236,0.09,5.4424
17,,0.98,0.1866,0.14,5.1186
18,,0.97,0.1933,0.24,5.3398
19,,0.96,0.2243,0.10,5.6966
20,,0.93,0.2480,0.17,4.5881
21,,0.97,0.2038,0.11,5.0844
22,,0.96,0.2242,0.23,5.4916
23,created new SGD optimizer with LR: 0.00001,0.97,0.2122,0.13,5.6958
24,,0.97,0.2005,0.22,6.1058
25,,0.97,0.1981,0.12,4.8649
26,,0.94,0.2454,0.09,5.1308
27,,0.94,0.2520,0.24,6.1466
28,,0.93,0.2435,0.09,5.3119
29,,0.94,0.2344,0.09,5.3691
30,,0.96,0.2088,0.23,5.4230
31,created new SGD optimizer with LR: 0.000001,0.96,0.1883,0.14,5.3698
32,,0.97,0.2000,0.07,5.2489
33,,0.94,0.2424,0.17,5.5091
34,,0.97,0.1876,0.13,6.0271
35,,0.96,0.1935,0.12,5.8742
36,,0.96,0.2120,0.17,6.0259
37,,0.97,0.1755,0.15,4.2941
38,,0.98,0.1741,0.26,5.8143
39,created new SGD optimizer with LR: 0.0000001,0.97,0.1944,0.10,5.4588
40,,0.94,0.2427,0.22,6.4356
41,,0.97,0.2013,0.25,4.7298
42,,0.97,0.1967,0.14,5.6293
43,,0.93,0.3092,0.09,5.1890
44,,0.96,0.2164,0.23,5.9249
45,,0.95,0.2261,0.23,5.7836
46,,0.96,0.2168,0.18,5.5316
47,created new SGD optimizer with LR: 0.00000001,0.96,0.2179,0.24,5.2336
48,,0.95,0.2144,0.21,5.5293
49,,0.95,0.2072,0.15,4.5633
