,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.4348,0.42,1.8264
1,,0.62,1.0892,0.42,7.1487
2,,0.67,0.9814,0.38,2.6420
3,,0.67,0.9494,0.32,4.1284
4,,0.76,0.6893,0.23,2.1961
5,,0.80,0.5852,0.29,3.2444
6,,0.87,0.4071,0.16,4.6940
7,created new SGD optimizer with LR: 0.00100000000000000002,0.87,0.4087,0.07,7.6602
8,,0.91,0.2792,0.16,10.6851
9,,0.88,0.3082,0.18,9.2448
10,,0.96,0.1340,0.17,9.1120
11,,0.96,0.1097,0.16,10.0134
12,,0.97,0.1105,0.15,6.2625
13,,0.98,0.1053,0.17,5.1154
14,,0.98,0.0771,0.16,9.0754
15,created new SGD optimizer with LR: 0.0001,0.98,0.0827,0.16,7.6669
16,,0.99,0.0550,0.17,7.4163
17,,0.98,0.0799,0.42,7.6522
18,,0.98,0.0663,0.16,10.6797
19,,0.97,0.1025,0.36,6.0924
20,,0.98,0.0710,0.17,6.9253
21,,0.98,0.0516,0.16,7.2884
22,,0.98,0.0804,0.16,7.8972
23,created new SGD optimizer with LR: 0.00001,0.98,0.0841,0.18,7.1429
24,,0.99,0.0472,0.07,8.2729
25,,0.99,0.0492,0.16,6.6212
26,,0.99,0.0495,0.16,10.5527
27,,0.98,0.0744,0.40,5.4125
28,,0.97,0.0689,0.16,9.3693
29,,0.98,0.0805,0.16,6.3232
30,,0.96,0.1371,0.16,6.5465
31,created new SGD optimizer with LR: 0.000001,0.98,0.0872,0.16,11.0914
32,,1.00,0.0447,0.41,6.0735
33,,0.98,0.0778,0.16,7.4923
34,,0.98,0.0854,0.16,9.3079
35,,0.98,0.0846,0.20,8.3647
36,,0.97,0.0887,0.16,8.0279
37,,0.96,0.0913,0.36,6.5515
38,,0.99,0.0454,0.16,9.6815
39,created new SGD optimizer with LR: 0.0000001,0.97,0.0976,0.17,9.0929
40,,0.98,0.0774,0.16,8.5054
41,,0.99,0.0538,0.16,6.1451
42,,0.99,0.0477,0.16,7.3025
43,,1.00,0.0412,0.17,9.3662
44,,0.98,0.0751,0.19,7.7556
45,,0.97,0.1008,0.16,7.9050
46,,0.97,0.0701,0.16,12.6263
47,created new SGD optimizer with LR: 0.00000001,0.97,0.0833,0.16,8.9132
48,,1.00,0.0410,0.16,8.1688
49,,0.98,0.0664,0.16,8.7865
