,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.4286,0.42,1.6409
1,,0.51,1.2825,0.46,2.0056
2,,0.58,1.1851,0.51,1.3775
3,,0.62,1.0706,0.54,1.2883
4,,0.63,1.0926,0.51,1.8600
5,,0.63,0.9342,0.55,1.2124
6,,0.64,0.8972,0.45,1.5135
7,created new SGD optimizer with LR: 0.00100000000000000002,0.67,0.8078,0.27,2.3797
8,,0.68,0.8010,0.57,1.4789
9,,0.72,0.6712,0.61,1.0983
10,,0.80,0.5256,0.64,0.8295
11,,0.82,0.5221,0.69,0.8008
12,,0.80,0.5082,0.65,0.8411
13,,0.78,0.5280,0.71,0.7294
14,,0.82,0.4726,0.69,0.9185
15,created new SGD optimizer with LR: 0.0001,0.83,0.4596,0.69,0.7513
16,,0.82,0.4609,0.69,0.9039
17,,0.85,0.4176,0.70,0.8557
18,,0.84,0.4411,0.68,0.9119
19,,0.85,0.3868,0.69,0.8011
20,,0.83,0.4188,0.63,1.1137
21,,0.82,0.4611,0.67,1.2296
22,,0.84,0.4172,0.70,0.7295
23,created new SGD optimizer with LR: 0.00001,0.83,0.4452,0.72,0.8287
24,,0.84,0.3992,0.65,1.0234
25,,0.86,0.3764,0.67,1.2609
26,,0.85,0.4013,0.70,0.9319
27,,0.86,0.3553,0.63,1.0855
28,,0.86,0.3748,0.68,1.0279
29,,0.86,0.3916,0.71,0.8267
30,,0.84,0.4242,0.68,1.1441
31,created new SGD optimizer with LR: 0.000001,0.84,0.4226,0.68,0.9041
32,,0.85,0.3940,0.63,1.1636
33,,0.84,0.4298,0.63,1.1470
34,,0.85,0.4132,0.71,0.8510
35,,0.84,0.3888,0.63,1.0556
36,,0.87,0.3712,0.66,0.9874
37,,0.84,0.4185,0.63,1.4230
38,,0.83,0.4458,0.67,0.7541
39,created new SGD optimizer with LR: 0.0000001,0.85,0.3881,0.69,0.8807
40,,0.85,0.3931,0.66,1.0974
41,,0.85,0.3864,0.68,0.8029
42,,0.86,0.4093,0.69,0.8519
43,,0.86,0.3731,0.71,0.7994
44,,0.84,0.3936,0.63,1.0569
45,,0.85,0.4062,0.72,0.9314
46,,0.87,0.3691,0.68,0.8853
47,created new SGD optimizer with LR: 0.00000001,0.87,0.3884,0.70,0.7912
48,,0.85,0.3963,0.72,0.8438
49,,0.85,0.4270,0.66,1.1281
