,notes,train_acc,train_loss,val_acc,val_loss
0,,0.48,1.4229,0.29,1.8293
1,,0.55,1.2742,0.56,1.3931
2,,0.58,1.1872,0.28,1.5918
3,,0.59,1.0786,0.46,1.3352
4,,0.59,1.0380,0.33,1.7738
5,,0.63,0.9621,0.55,1.0959
6,,0.63,0.9264,0.57,1.1342
7,created new SGD optimizer with LR: 0.00100000000000000002,0.68,0.8589,0.64,0.9878
8,,0.72,0.7487,0.46,1.4792
9,,0.73,0.7288,0.57,1.3193
10,,0.75,0.6255,0.72,0.7534
11,,0.80,0.5449,0.68,0.8238
12,,0.84,0.4907,0.73,0.7859
13,,0.82,0.4657,0.67,0.8527
14,,0.79,0.5145,0.73,0.8050
15,created new SGD optimizer with LR: 0.0001,0.81,0.4810,0.69,0.7806
16,,0.82,0.4643,0.71,0.8773
17,,0.87,0.3844,0.68,0.8620
18,,0.83,0.4558,0.76,0.7311
19,,0.85,0.3982,0.71,0.8217
20,,0.88,0.3575,0.73,0.8711
21,,0.88,0.3669,0.68,0.9291
22,,0.87,0.3553,0.68,1.0442
23,created new SGD optimizer with LR: 0.00001,0.89,0.3355,0.76,0.8347
24,,0.86,0.3766,0.69,1.0075
25,,0.85,0.3797,0.65,1.3708
26,,0.87,0.3579,0.74,0.8033
27,,0.85,0.3903,0.69,0.9041
28,,0.85,0.3924,0.72,0.8163
29,,0.87,0.3744,0.72,0.8137
30,,0.89,0.3229,0.69,0.8137
31,created new SGD optimizer with LR: 0.000001,0.89,0.3413,0.60,1.1663
32,,0.88,0.3995,0.72,0.8466
33,,0.86,0.3610,0.67,1.0726
34,,0.88,0.3532,0.70,0.8001
35,,0.87,0.3793,0.75,0.8321
36,,0.87,0.3744,0.67,1.0242
37,,0.88,0.3567,0.69,0.9916
38,,0.87,0.3706,0.67,1.0427
39,created new SGD optimizer with LR: 0.0000001,0.86,0.3710,0.75,0.8601
40,,0.89,0.3472,0.72,0.7844
41,,0.88,0.3630,0.67,0.9388
42,,0.89,0.3240,0.72,0.7563
43,,0.89,0.3164,0.61,1.2490
44,,0.88,0.3725,0.75,0.7365
45,,0.88,0.3361,0.72,0.7115
46,,0.86,0.3637,0.68,1.0203
47,created new SGD optimizer with LR: 0.00000001,0.91,0.3109,0.67,1.0473
48,,0.86,0.3657,0.73,0.8167
49,,0.87,0.3714,0.72,0.6921
