,notes,train_acc,train_loss,val_acc,val_loss
0,,0.55,1.4053,0.25,36.8571
1,,0.40,1.6796,0.40,18.8359
2,,0.41,1.5787,0.11,4.1125
3,,0.43,1.5263,0.42,39.6552
4,,0.43,1.5584,0.43,3.0794
5,,0.42,1.5679,0.42,31.3465
6,,0.41,1.5309,0.17,6.5707
7,created new Adam optimizer with LR: 0.00100000000000000002,0.42,1.5885,0.43,1.5600
8,,0.43,1.5586,0.39,18.7728
9,,0.42,1.5675,0.43,1.8457
10,,0.42,1.5473,0.44,1.5852
11,,0.42,1.5325,0.43,2.1012
12,,0.42,1.5130,0.44,1.9753
13,,0.43,1.5025,0.45,1.5410
14,,0.43,1.5079,0.45,2.0077
15,created new Adam optimizer with LR: 0.0001,0.44,1.4764,0.44,2.9507
16,,0.44,1.4355,0.45,1.7491
17,,0.44,1.4327,0.45,1.5886
18,,0.45,1.4222,0.45,3.9358
19,,0.47,1.3993,0.40,4.8398
20,,0.47,1.3948,0.43,6.2269
21,,0.46,1.4073,0.44,1.6694
22,,0.46,1.3913,0.43,1.4829
23,created new Adam optimizer with LR: 0.00001,0.45,1.3831,0.43,1.4186
24,,0.46,1.3883,0.44,1.4624
25,,0.47,1.3793,0.42,4.9951
26,,0.48,1.3756,0.42,1.4785
27,,0.46,1.3615,0.45,2.3863
28,,0.46,1.3553,0.45,1.4391
29,,0.45,1.3698,0.45,1.5363
30,,0.46,1.3703,0.46,1.4984
31,created new Adam optimizer with LR: 0.000001,0.47,1.3541,0.45,1.6079
32,,0.47,1.3313,0.42,3.4232
33,,0.47,1.3356,0.43,3.9637
34,,0.46,1.3669,0.43,2.6348
35,,0.47,1.3981,0.43,3.3948
36,,0.48,1.3586,0.42,12.8440
37,,0.48,1.3500,0.42,2.6425
38,,0.47,1.3769,0.46,1.5690
39,created new Adam optimizer with LR: 0.0000001,0.47,1.3534,0.43,6.7290
40,,0.48,1.3476,0.44,1.4318
41,,0.48,1.3527,0.43,2.6259
42,,0.47,1.3464,0.40,10.6628
43,,0.47,1.3421,0.43,3.7209
44,,0.46,1.3420,0.46,1.5560
45,,0.45,1.3734,0.44,1.5083
46,,0.48,1.3541,0.40,12.3309
47,created new Adam optimizer with LR: 0.00000001,0.45,1.3463,0.45,1.5408
48,,0.45,1.3660,0.45,2.6186
49,,0.47,1.3354,0.44,1.5903
