,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.4645,0.27,2.5832
1,,0.57,1.2283,0.54,1.9351
2,,0.60,1.0627,0.58,2.0844
3,,0.64,1.0208,0.60,1.2941
4,,0.65,0.9568,0.55,1.4701
5,,0.71,0.7858,0.27,3.8015
6,,0.75,0.7051,0.65,1.1994
7,created new SGD optimizer with LR: 0.00100000000000000002,0.77,0.6603,0.54,1.5913
8,,0.84,0.4404,0.69,0.9564
9,,0.85,0.4057,0.68,1.1374
10,,0.92,0.2762,0.76,0.8955
11,,0.90,0.2911,0.74,0.7605
12,,0.91,0.2924,0.68,1.2414
13,,0.94,0.2079,0.77,0.7154
14,,0.94,0.2021,0.73,1.0198
15,created new SGD optimizer with LR: 0.0001,0.92,0.2467,0.76,0.8102
16,,0.94,0.1903,0.71,0.7568
17,,0.93,0.2190,0.66,1.0593
18,,0.94,0.2086,0.72,0.9327
19,,0.94,0.1952,0.77,0.6741
20,,0.95,0.1844,0.72,0.8498
21,,0.97,0.1446,0.75,0.7445
22,,0.95,0.1834,0.78,0.6531
23,created new SGD optimizer with LR: 0.00001,0.94,0.1801,0.69,0.9247
24,,0.92,0.2476,0.72,0.7785
25,,0.96,0.1544,0.75,0.7166
26,,0.93,0.2156,0.72,0.9216
27,,0.94,0.1975,0.70,1.0534
28,,0.93,0.2085,0.77,0.8803
29,,0.96,0.1657,0.77,0.8825
30,,0.94,0.1938,0.72,0.7928
31,created new SGD optimizer with LR: 0.000001,0.94,0.1851,0.76,0.9226
32,,0.94,0.2023,0.77,0.7194
33,,0.95,0.1782,0.72,0.8112
34,,0.96,0.1647,0.70,0.9995
35,,0.94,0.2128,0.79,0.6843
36,,0.95,0.1760,0.69,1.0080
37,,0.96,0.1553,0.71,1.4455
38,,0.92,0.2378,0.72,0.8523
39,created new SGD optimizer with LR: 0.0000001,0.96,0.1564,0.75,0.9261
40,,0.94,0.2030,0.66,1.2995
41,,0.93,0.2685,0.77,0.8630
42,,0.95,0.1737,0.69,1.0391
43,,0.91,0.2395,0.68,0.9863
44,,0.96,0.1510,0.72,0.7388
45,,0.95,0.1622,0.75,0.7095
46,,0.93,0.2025,0.74,0.9721
47,created new SGD optimizer with LR: 0.00000001,0.94,0.2172,0.77,0.7477
48,,0.96,0.1628,0.74,0.7388
49,,0.93,0.2130,0.68,0.8724
