,notes,train_acc,train_loss,val_acc,val_loss
0,,0.67,1.1689,0.54,1.8698
1,,0.80,0.7314,0.46,3.8360
2,,0.89,0.3977,0.57,1.7789
3,,0.92,0.2868,0.65,2.1546
4,,0.96,0.1638,0.46,3.3025
5,,0.97,0.0943,0.72,0.9401
6,,0.98,0.0483,0.75,2.0322
7,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0259,0.76,1.0988
8,,0.98,0.0479,0.70,1.6322
9,,0.99,0.0448,0.82,1.3465
10,,0.97,0.0390,0.74,2.7712
11,,0.98,0.0415,0.68,2.7234
12,,1.00,0.0098,0.85,0.6478
13,,0.99,0.0212,0.72,1.4022
14,,1.00,0.0078,0.84,1.0671
15,created new SGD optimizer with LR: 0.0001,1.00,0.0138,0.76,1.6172
16,,0.99,0.0255,0.81,0.8435
17,,0.98,0.0394,0.72,1.9438
18,,0.99,0.0265,0.72,1.9819
19,,0.98,0.0455,0.82,0.8352
20,,1.00,0.0208,0.80,0.9825
21,,1.00,0.0079,0.75,1.1632
22,,1.00,0.0073,0.79,1.0268
23,created new SGD optimizer with LR: 0.00001,0.99,0.0425,0.71,1.5095
24,,0.99,0.0178,0.81,0.8533
25,,1.00,0.0091,0.81,1.1242
26,,0.99,0.0387,0.80,1.1341
27,,0.99,0.0246,0.69,1.4792
28,,1.00,0.0125,0.78,1.1530
29,,0.99,0.0345,0.75,1.1586
30,,0.99,0.0227,0.69,1.5020
31,created new SGD optimizer with LR: 0.000001,0.99,0.0217,0.78,1.3837
32,,0.99,0.0249,0.79,1.4620
33,,0.99,0.0287,0.76,1.5600
34,,1.00,0.0102,0.82,0.6890
35,,0.99,0.0285,0.75,1.5498
36,,0.99,0.0356,0.82,0.8614
37,,1.00,0.0093,0.78,1.1125
38,,0.98,0.0517,0.72,1.9762
39,created new SGD optimizer with LR: 0.0000001,0.99,0.0407,0.71,1.9299
40,,1.00,0.0152,0.78,1.2827
41,,0.98,0.0394,0.78,1.2442
42,,1.00,0.0086,0.82,0.8369
43,,0.99,0.0181,0.71,1.6085
44,,1.00,0.0161,0.68,1.4898
45,,1.00,0.0148,0.79,0.9087
46,,0.99,0.0197,0.74,1.3677
47,created new SGD optimizer with LR: 0.00000001,1.00,0.0123,0.82,0.8808
48,,0.98,0.0398,0.78,1.7306
49,,1.00,0.0084,0.81,0.7596
