,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,1.5628,0.46,2.1813
1,,0.53,1.3647,0.55,1.5013
2,,0.59,1.1488,0.54,2.7302
3,,0.61,1.0635,0.65,1.2510
4,,0.66,0.9625,0.53,1.6571
5,,0.73,0.7298,0.44,2.3567
6,,0.70,0.7936,0.41,3.0492
7,created new SGD optimizer with LR: 0.00100000000000000002,0.72,0.7319,0.31,6.7113
8,,0.75,0.7176,0.55,1.7823
9,,0.78,0.5869,0.65,0.8126
10,,0.88,0.3593,0.70,0.7852
11,,0.87,0.3618,0.64,1.2203
12,,0.91,0.3018,0.71,0.7981
13,,0.93,0.2475,0.69,1.0951
14,,0.92,0.2268,0.72,0.8751
15,created new SGD optimizer with LR: 0.0001,0.91,0.2677,0.76,0.8821
16,,0.91,0.2668,0.74,0.8500
17,,0.91,0.2422,0.76,0.6867
18,,0.92,0.2102,0.69,0.9742
19,,0.93,0.2244,0.75,0.7704
20,,0.92,0.2213,0.70,0.9042
21,,0.94,0.1953,0.75,0.9350
22,,0.93,0.2036,0.69,1.1288
23,created new SGD optimizer with LR: 0.00001,0.95,0.1916,0.71,1.0013
24,,0.95,0.1733,0.70,0.8655
25,,0.94,0.1891,0.72,0.8739
26,,0.95,0.1641,0.70,1.2065
27,,0.95,0.1768,0.72,0.8216
28,,0.93,0.1933,0.72,1.1963
29,,0.93,0.2048,0.71,0.8117
30,,0.97,0.1518,0.75,0.7847
31,created new SGD optimizer with LR: 0.000001,0.95,0.1783,0.70,0.8351
32,,0.96,0.1523,0.76,0.7563
33,,0.94,0.1814,0.70,0.7713
34,,0.95,0.1805,0.70,1.3579
35,,0.95,0.1737,0.69,1.3721
36,,0.92,0.2155,0.72,0.6388
37,,0.94,0.1937,0.72,1.1388
38,,0.93,0.1919,0.72,1.0127
39,created new SGD optimizer with LR: 0.0000001,0.93,0.1984,0.69,0.9545
40,,0.94,0.1662,0.74,0.9728
41,,0.95,0.1868,0.79,0.6139
42,,0.96,0.1618,0.71,1.0675
43,,0.96,0.1749,0.74,0.9375
44,,0.95,0.1682,0.74,0.7154
45,,0.95,0.1623,0.72,0.7618
46,,0.92,0.2096,0.69,1.0832
47,created new SGD optimizer with LR: 0.00000001,0.95,0.1783,0.69,0.9035
48,,0.95,0.1808,0.72,0.7448
49,,0.95,0.1803,0.74,0.8524
