,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.6613,0.42,1.6558
1,,0.41,1.5889,0.42,1.5371
2,,0.41,1.5780,0.43,1.5676
3,,0.41,1.5656,0.42,1.5346
4,,0.42,1.5617,0.43,1.5556
5,,0.43,1.5676,0.43,1.5446
6,,0.41,1.5843,0.43,1.5244
7,,0.40,1.5683,0.43,1.5597
8,,0.41,1.5683,0.43,1.5243
9,,0.39,1.5705,0.43,1.5343
10,,0.41,1.5686,0.43,1.5339
11,,0.42,1.5626,0.43,1.5279
12,,0.41,1.5651,0.42,1.5268
13,,0.43,1.5663,0.43,1.5704
14,,0.41,1.5691,0.43,1.5293
15,,0.42,1.5645,0.42,1.5355
16,,0.40,1.5601,0.43,1.5309
17,,0.42,1.5649,0.43,1.5280
18,,0.41,1.5630,0.42,1.5272
19,,0.41,1.5633,0.42,1.5267
20,,0.41,1.5615,0.43,1.5236
21,,0.42,1.5593,0.43,1.5221
22,,0.41,1.5659,0.43,1.5227
23,,0.41,1.5604,0.43,1.5353
24,,0.42,1.5617,0.42,1.5218
25,,0.42,1.5645,0.42,1.5228
26,,0.41,1.5526,0.44,1.5447
27,,0.41,1.5617,0.43,1.5273
28,,0.41,1.5614,0.43,1.5233
29,created new Adam optimizer with LR: 0.00100000000000000002,0.42,1.5580,0.43,1.5285
30,,0.41,1.5601,0.42,1.5295
31,,0.42,1.5534,0.42,1.5264
32,,0.41,1.5513,0.42,1.5243
33,,0.42,1.5505,0.43,1.5235
34,,0.41,1.5498,0.42,1.5225
35,,0.41,1.5499,0.42,1.5222
36,,0.43,1.5497,0.43,1.5219
37,,0.42,1.5495,0.43,1.5217
38,,0.42,1.5500,0.43,1.5215
39,,0.41,1.5498,0.43,1.5216
40,,0.41,1.5504,0.42,1.5217
41,,0.42,1.5499,0.43,1.5218
42,,0.41,1.5498,0.42,1.5216
43,,0.43,1.5498,0.42,1.5218
44,,0.42,1.5498,0.43,1.5217
45,,0.42,1.5499,0.42,1.5217
46,,0.41,1.5496,0.42,1.5218
47,,0.42,1.5502,0.43,1.5220
48,,0.43,1.5494,0.42,1.5216
49,,0.42,1.5496,0.44,1.5216
