,notes,train_acc,train_loss,val_acc,val_loss
0,,0.59,4.2968,0.42,13.9185
1,,0.62,5.0811,0.58,7.9261
2,,0.67,5.0533,0.59,6.6514
3,,0.70,3.8808,0.52,15.2366
4,,0.72,3.6835,0.52,8.6864
5,,0.72,4.4575,0.45,25.7184
6,,0.71,4.3942,0.36,12.5458
7,,0.76,3.2246,0.62,11.6972
8,,0.77,3.0660,0.51,7.9554
9,,0.79,2.4422,0.60,7.5502
10,,0.80,2.3376,0.47,7.3422
11,,0.79,2.4646,0.46,9.2048
12,,0.83,1.8594,0.68,4.7694
13,,0.82,1.9864,0.68,4.5825
14,,0.82,1.9976,0.61,5.7387
15,,0.79,2.3299,0.71,6.5258
16,,0.83,1.9318,0.53,9.1373
17,,0.82,1.7837,0.54,6.7632
18,,0.82,1.8934,0.59,7.7488
19,,0.83,1.9068,0.73,4.2965
20,,0.84,1.7027,0.70,5.7951
21,,0.86,1.4145,0.49,10.9424
22,,0.85,1.5532,0.69,3.8404
23,,0.84,1.6865,0.70,3.5128
24,,0.84,1.7553,0.55,12.7990
25,,0.83,2.0876,0.52,10.0973
26,,0.84,1.8524,0.60,5.7993
27,,0.86,1.5049,0.51,7.5009
28,,0.84,1.5598,0.57,8.9197
29,created new SGD optimizer with LR: 0.00100000000000000002,0.84,1.5259,0.66,4.9594
30,,0.85,1.4903,0.70,6.4095
31,,0.89,0.9935,0.78,1.9958
32,,0.90,0.7116,0.78,1.9889
33,,0.91,0.6632,0.75,2.1569
34,,0.91,0.6341,0.76,2.0589
35,,0.91,0.7093,0.80,1.7909
36,,0.91,0.6680,0.79,1.9045
37,,0.90,0.6830,0.78,1.7962
38,,0.91,0.5976,0.80,1.7229
39,,0.91,0.6123,0.78,1.8759
40,,0.91,0.6612,0.77,1.8738
41,,0.91,0.6273,0.78,1.9405
42,,0.91,0.5935,0.79,1.6964
43,,0.91,0.5790,0.79,1.6220
44,,0.91,0.6084,0.79,1.6609
45,,0.92,0.5475,0.78,1.7664
46,,0.91,0.6340,0.80,1.5840
47,,0.92,0.5708,0.79,1.8185
48,,0.91,0.6132,0.79,1.7978
49,,0.92,0.4895,0.79,2.0109
