,notes,train_acc,train_loss,val_acc,val_loss
0,,0.52,1.3795,0.34,1.8043
1,,0.50,1.3885,0.33,1.6505
2,,0.52,1.3474,0.04,3.4918
3,,0.57,1.2104,0.47,1.5208
4,,0.49,1.4276,0.41,1.6044
5,,0.42,1.5690,0.42,1.5328
6,,0.42,1.5644,0.43,1.5540
7,,0.42,1.5770,0.43,1.5435
8,,0.40,1.5686,0.43,1.5301
9,,0.41,1.5569,0.25,1.5687
10,,0.39,1.5773,0.43,1.5324
11,,0.40,1.5529,0.43,1.5339
12,,0.41,1.5493,0.25,1.7202
13,,0.45,1.4122,0.43,1.5524
14,,0.40,1.5688,0.42,1.5226
15,,0.43,1.5536,0.43,1.5193
16,,0.39,1.5556,0.43,1.5247
17,,0.56,1.2452,0.56,1.9583
18,,0.63,1.0739,0.46,1.5733
19,,0.69,0.9128,0.29,2.9412
20,,0.72,0.7971,0.59,1.3981
21,,0.73,0.7524,0.48,2.3881
22,,0.80,0.5832,0.57,1.7246
23,,0.84,0.4211,0.54,2.2919
24,,0.89,0.3137,0.58,2.7089
25,,0.91,0.2542,0.59,2.3489
26,,0.92,0.2463,0.56,1.9889
27,,0.96,0.1233,0.63,1.9954
28,,0.97,0.0791,0.65,2.0821
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0589,0.67,1.7845
30,,0.99,0.0275,0.63,2.8899
31,,0.99,0.0413,0.63,1.7851
32,,1.00,0.0089,0.67,1.8436
33,,1.00,0.0064,0.66,1.8612
34,,1.00,0.0047,0.67,1.8896
35,,1.00,0.0044,0.67,1.9208
36,,1.00,0.0028,0.67,1.9434
37,,1.00,0.0041,0.66,1.9643
38,,1.00,0.0025,0.66,1.9606
39,,1.00,0.0028,0.65,1.9901
40,,1.00,0.0021,0.66,2.0079
41,,1.00,0.0018,0.66,2.0151
42,,1.00,0.0018,0.66,2.0222
43,,1.00,0.0017,0.66,2.0233
44,,1.00,0.0018,0.66,2.0309
45,,1.00,0.0020,0.66,2.0292
46,,1.00,0.0012,0.66,2.0301
47,,1.00,0.0011,0.68,2.0427
48,,1.00,0.0015,0.67,2.0432
49,,1.00,0.0012,0.66,2.0611
