,notes,train_acc,train_loss,val_acc,val_loss
0,,0.37,1.6542,0.43,1.6240
1,,0.38,1.5580,0.43,1.5728
2,,0.39,1.5994,0.43,1.5492
3,,0.41,1.5646,0.43,1.5637
4,,0.41,1.5827,0.43,1.5235
5,,0.41,1.5732,0.43,1.5714
6,,0.42,1.5775,0.42,1.5305
7,,0.40,1.5635,0.43,1.5650
8,,0.42,1.5705,0.43,1.5247
9,,0.41,1.5578,0.43,1.5301
10,,0.41,1.5677,0.43,1.5317
11,,0.41,1.5663,0.43,1.5281
12,,0.42,1.5662,0.43,1.5389
13,,0.42,1.5759,0.42,1.5246
14,,0.43,1.5631,0.43,1.5311
15,,0.41,1.5642,0.42,1.5276
16,,0.41,1.5607,0.42,1.5374
17,,0.41,1.5552,0.42,1.5227
18,,0.43,1.5628,0.43,1.5231
19,,0.41,1.5632,0.42,1.5257
20,,0.41,1.5596,0.43,1.5461
21,,0.42,1.5594,0.42,1.5236
22,,0.42,1.5609,0.43,1.5245
23,,0.43,1.5593,0.42,1.5299
24,,0.41,1.5673,0.43,1.5251
25,,0.41,1.5617,0.42,1.5416
26,,0.41,1.5539,0.43,1.5235
27,,0.43,1.5581,0.42,1.5265
28,,0.41,1.5627,0.43,1.5232
29,created new Adam optimizer with LR: 0.00100000000000000002,0.42,1.5617,0.43,1.5226
30,,0.43,1.5579,0.43,1.5224
31,,0.42,1.5510,0.43,1.5219
32,,0.42,1.5503,0.43,1.5216
33,,0.41,1.5505,0.43,1.5215
34,,0.41,1.5502,0.43,1.5217
35,,0.42,1.5501,0.43,1.5216
36,,0.41,1.5500,0.43,1.5215
37,,0.42,1.5499,0.43,1.5216
38,,0.42,1.5499,0.43,1.5216
39,,0.41,1.5500,0.42,1.5215
40,,0.41,1.5499,0.43,1.5216
41,,0.41,1.5502,0.42,1.5218
42,,0.42,1.5499,0.42,1.5219
43,,0.42,1.5500,0.43,1.5217
44,,0.41,1.5501,0.43,1.5216
45,,0.41,1.5502,0.43,1.5216
46,,0.42,1.5501,0.43,1.5215
47,,0.41,1.5498,0.43,1.5219
48,,0.42,1.5499,0.42,1.5218
49,,0.43,1.5500,0.43,1.5217
