,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,635835017.9127,0.25,602576212359.3375
1,,0.42,7300232061363350929408.0000,0.22,8213445462480659014483968.0000
2,,0.42,1701699050391264403119798650667008.0000,0.25,1020969665258700607482085005802340352.0000
3,,0.09,nan,0.02,nan
4,,0.02,nan,0.02,nan
5,,0.02,nan,0.02,nan
6,,0.02,nan,0.02,nan
7,,0.02,nan,0.02,nan
8,,0.02,nan,0.02,nan
9,,0.02,nan,0.02,nan
10,,0.02,nan,0.02,nan
11,,0.03,nan,0.02,nan
12,,0.02,nan,0.02,nan
13,,0.02,nan,0.02,nan
14,,0.02,nan,0.02,nan
15,,0.03,nan,0.02,nan
16,,0.02,nan,0.02,nan
17,,0.02,nan,0.02,nan
18,,0.02,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.02,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.02,nan,0.02,nan
29,created new SGD optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.02,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.03,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
