,notes,train_acc,train_loss,val_acc,val_loss
0,,0.37,1.6659,0.43,1.5376
1,,0.39,1.5699,0.43,1.5303
2,,0.40,1.5772,0.43,1.5292
3,,0.41,1.5613,0.43,1.5359
4,,0.41,1.5791,0.43,1.5307
5,,0.42,1.5705,0.43,1.5243
6,,0.41,1.5705,0.42,1.5258
7,,0.41,1.5530,0.43,1.5455
8,,0.41,1.5683,0.43,1.5306
9,,0.41,1.5593,0.42,1.5264
10,,0.41,1.5578,0.43,1.5298
11,,0.41,1.5632,0.43,1.5312
12,,0.40,1.5630,0.43,1.5312
13,,0.41,1.5680,0.43,1.5302
14,,0.42,1.5601,0.43,1.5253
15,,0.42,1.5599,0.42,1.5237
16,,0.42,1.5620,0.42,1.5278
17,,0.42,1.5589,0.43,1.5234
18,,0.43,1.5643,0.43,1.5219
19,,0.41,1.5591,0.43,1.5234
20,,0.41,1.5603,0.43,1.5235
21,,0.41,1.5628,0.42,1.5247
22,,0.42,1.5620,0.43,1.5224
23,,0.42,1.5541,0.43,1.5276
24,,0.42,1.5572,0.42,1.5256
25,,0.41,1.5599,0.43,1.5269
26,,0.41,1.5552,0.42,1.5224
27,,0.42,1.5575,0.42,1.5229
28,,0.41,1.5619,0.43,1.5234
29,created new SGD optimizer with LR: 0.00100000000000000002,0.41,1.5582,0.43,1.5241
30,,0.41,1.5635,0.43,1.5229
31,,0.43,1.5494,0.42,1.5224
32,,0.41,1.5495,0.43,1.5221
33,,0.41,1.5503,0.43,1.5222
34,,0.41,1.5493,0.42,1.5222
35,,0.42,1.5506,0.43,1.5222
36,,0.41,1.5508,0.43,1.5220
37,,0.42,1.5504,0.43,1.5220
38,,0.42,1.5508,0.42,1.5221
39,,0.41,1.5499,0.42,1.5222
40,,0.41,1.5502,0.42,1.5224
41,,0.42,1.5503,0.43,1.5229
42,,0.41,1.5507,0.43,1.5225
43,,0.41,1.5498,0.43,1.5224
44,,0.42,1.5496,0.43,1.5224
45,,0.42,1.5498,0.42,1.5221
46,,0.41,1.5499,0.42,1.5221
47,,0.41,1.5510,0.43,1.5223
48,,0.41,1.5502,0.43,1.5221
49,,0.43,1.5499,0.42,1.5221
