,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.6164,0.43,1.6692
1,,0.38,1.5812,0.43,1.5553
2,,0.41,1.5806,0.42,1.5281
3,,0.41,1.5825,0.43,1.5580
4,,0.41,1.5672,0.43,1.5833
5,,0.42,1.5764,0.43,1.5616
6,,0.41,1.5677,0.42,1.5630
7,,0.41,1.5766,0.43,1.5444
8,,0.41,1.5721,0.43,1.5331
9,,0.41,1.5759,0.43,1.5273
10,,0.42,1.5827,0.42,1.5331
11,,0.41,1.5584,0.42,1.5667
12,,0.41,1.5638,0.43,1.5341
13,,0.41,1.5699,0.42,1.5482
14,,0.41,1.5682,0.43,1.5334
15,,0.42,1.5636,0.43,1.5231
16,,0.41,1.5725,0.42,1.5263
17,,0.43,1.5639,0.43,1.5221
18,,0.41,1.5591,0.43,1.5320
19,,0.41,1.5584,0.43,1.5219
20,,0.42,1.5588,0.43,1.5233
21,,0.41,1.5556,0.43,1.5231
22,,0.42,1.5622,0.42,1.5229
23,,0.43,1.5587,0.43,1.5213
24,,0.41,1.5584,0.42,1.5239
25,,0.41,1.5578,0.42,1.5268
26,,0.41,1.5603,0.43,1.5239
27,,0.41,1.5580,0.42,1.5217
28,,0.42,1.5600,0.42,1.5251
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5602,0.43,1.5237
30,,0.41,1.5565,0.42,1.5222
31,,0.41,1.5509,0.43,1.5222
32,,0.43,1.5510,0.43,1.5221
33,,0.41,1.5502,0.43,1.5218
34,,0.41,1.5502,0.43,1.5219
35,,0.41,1.5496,0.43,1.5219
36,,0.42,1.5498,0.43,1.5218
37,,0.43,1.5500,0.43,1.5219
38,,0.42,1.5498,0.42,1.5217
39,,0.42,1.5496,0.44,1.5218
40,,0.41,1.5498,0.43,1.5217
41,,0.41,1.5496,0.42,1.5217
42,,0.42,1.5497,0.43,1.5218
43,,0.42,1.5496,0.43,1.5217
44,,0.42,1.5497,0.43,1.5215
45,,0.42,1.5495,0.42,1.5216
46,,0.41,1.5497,0.43,1.5217
47,,0.41,1.5498,0.43,1.5217
48,,0.41,1.5499,0.42,1.5218
49,,0.41,1.5494,0.43,1.5219
