,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,2.1488,0.41,4.4764
1,,0.45,2.3585,0.42,5.5479
2,,0.47,2.9936,0.36,3.0944
3,,0.47,2.2455,0.22,4.5242
4,,0.50,2.2470,0.33,2.4062
5,,0.47,2.1202,0.21,4.8585
6,,0.40,2.4586,0.42,5.6748
7,,0.46,3.3522,0.16,4.6842
8,,0.46,3.1455,0.05,9.3870
9,,0.44,3.0522,0.32,7.8958
10,,0.49,3.9361,0.26,10.5983
11,,0.45,3.0091,0.25,5.6846
12,,0.48,2.7874,0.26,4.1470
13,,0.50,2.5515,0.43,13.5892
14,,0.49,5.2852,0.40,7.8953
15,,0.55,3.4555,0.46,8.2722
16,,0.52,4.7066,0.11,11.8001
17,,0.53,4.3048,0.37,6.7772
18,,0.54,4.1438,0.39,9.0805
19,,0.56,3.3605,0.52,10.0365
20,,0.58,3.4805,0.52,7.1437
21,,0.61,2.8661,0.54,4.8573
22,,0.57,3.1666,0.22,11.2983
23,,0.62,2.7462,0.31,8.2658
24,,0.61,2.6462,0.37,4.5279
25,,0.64,2.7148,0.30,11.2012
26,,0.65,2.3868,0.41,6.7945
27,,0.63,2.5220,0.33,7.4556
28,,0.65,2.3630,0.48,4.9187
29,created new SGD optimizer with LR: 0.00100000000000000002,0.64,2.7011,0.54,4.1366
30,,0.68,2.0277,0.56,4.3354
31,,0.74,1.5305,0.64,2.2971
32,,0.77,1.0892,0.59,2.5085
33,,0.79,0.9182,0.60,2.1168
34,,0.81,0.8164,0.63,1.9578
35,,0.81,0.7259,0.60,1.8794
36,,0.82,0.7092,0.62,1.9315
37,,0.82,0.6621,0.63,1.6051
38,,0.83,0.6213,0.64,1.6699
39,,0.82,0.6448,0.64,1.6772
40,,0.83,0.6082,0.66,1.7777
41,,0.84,0.6076,0.63,1.6892
42,,0.85,0.5180,0.66,1.8657
43,,0.84,0.5705,0.65,1.7336
44,,0.85,0.5208,0.67,1.7973
45,,0.85,0.5114,0.66,1.7323
46,,0.85,0.5151,0.68,1.6796
47,,0.85,0.5262,0.65,1.5843
48,,0.86,0.4677,0.69,1.5715
49,,0.85,0.4723,0.68,1.6258
