,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5076,0.42,6.0261
1,,0.48,1.4991,0.43,1.8700
2,,0.51,1.4303,0.43,3.8797
3,,0.47,1.5294,0.45,1.7814
4,,0.50,1.4210,0.41,1.5516
5,,0.50,1.3825,0.47,1.4229
6,,0.53,1.2599,0.29,2.0747
7,,0.57,1.1893,0.35,2.3890
8,,0.55,1.2591,0.43,1.8464
9,,0.56,1.1327,0.48,2.6860
10,,0.64,1.0022,0.47,2.9126
11,,0.63,1.0624,0.38,1.6694
12,,0.71,0.8029,0.40,1.8112
13,,0.72,0.7672,0.57,1.6794
14,,0.76,0.6928,0.38,2.4707
15,,0.78,0.6135,0.59,1.3690
16,,0.81,0.5255,0.48,2.1023
17,,0.87,0.3811,0.61,1.8032
18,,0.87,0.4051,0.58,2.0163
19,,0.93,0.2091,0.59,2.1027
20,,0.92,0.2164,0.52,2.6653
21,,0.94,0.1859,0.57,2.4637
22,,0.92,0.2236,0.54,1.7856
23,,0.96,0.1268,0.63,1.5303
24,,0.99,0.0422,0.59,2.6043
25,,0.97,0.0874,0.68,1.8580
26,,0.98,0.0560,0.68,1.7304
27,,0.99,0.0334,0.60,2.4211
28,,0.99,0.0411,0.56,2.9418
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0439,0.65,2.3961
30,,0.99,0.0204,0.71,1.7451
31,,1.00,0.0096,0.71,1.5739
32,,1.00,0.0021,0.72,1.5659
33,,1.00,0.0015,0.72,1.5902
34,,1.00,0.0018,0.73,1.5893
35,,1.00,0.0016,0.73,1.6039
36,,1.00,0.0012,0.73,1.5971
37,,1.00,0.0014,0.72,1.6230
38,,1.00,0.0007,0.72,1.6312
39,,1.00,0.0008,0.72,1.6401
40,,1.00,0.0008,0.72,1.6478
41,,1.00,0.0007,0.71,1.6478
42,,1.00,0.0005,0.72,1.6371
43,,1.00,0.0006,0.72,1.6526
44,,1.00,0.0006,0.72,1.6589
45,,1.00,0.0005,0.71,1.6516
46,,1.00,0.0005,0.72,1.6471
47,,1.00,0.0006,0.72,1.6557
48,,1.00,0.0005,0.72,1.6632
49,,1.00,0.0007,0.72,1.6671
