,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5682,0.24,1.6269
1,,0.43,1.5625,0.43,1.5508
2,,0.42,1.5960,0.43,1.5554
3,,0.41,1.5667,0.43,1.5370
4,,0.41,1.5709,0.43,1.5382
5,,0.41,1.5748,0.44,1.5535
6,,0.42,1.5678,0.43,1.5254
7,,0.43,1.5720,0.43,1.5320
8,,0.41,1.5688,0.42,1.5410
9,,0.42,1.5663,0.43,1.5323
10,,0.41,1.5676,0.43,1.5272
11,,0.41,1.5538,0.43,1.5994
12,,0.41,1.5654,0.42,1.5272
13,,0.41,1.5625,0.42,1.5372
14,,0.41,1.5634,0.43,1.5337
15,,0.42,1.5657,0.43,1.5232
16,,0.41,1.5630,0.43,1.5275
17,,0.41,1.5671,0.43,1.5226
18,,0.41,1.5629,0.42,1.5514
19,,0.42,1.5549,0.42,1.5457
20,,0.41,1.5598,0.43,1.5305
21,,0.42,1.5660,0.43,1.5252
22,,0.42,1.5664,0.43,1.5249
23,,0.41,1.5596,0.43,1.5226
24,,0.41,1.5636,0.42,1.5243
25,,0.41,1.5649,0.43,1.5235
26,,0.41,1.5599,0.42,1.5240
27,,0.42,1.5577,0.43,1.5288
28,,0.42,1.5593,0.43,1.5238
29,created new Adam optimizer with LR: 0.00100000000000000002,0.42,1.5582,0.43,1.5255
30,,0.41,1.5589,0.43,1.5268
31,,0.42,1.5546,0.43,1.5254
32,,0.41,1.5535,0.43,1.5238
33,,0.41,1.5517,0.43,1.5237
34,,0.41,1.5518,0.43,1.5231
35,,0.41,1.5514,0.42,1.5230
36,,0.41,1.5511,0.43,1.5224
37,,0.41,1.5508,0.42,1.5221
38,,0.42,1.5501,0.43,1.5224
39,,0.41,1.5507,0.42,1.5219
40,,0.42,1.5504,0.42,1.5219
41,,0.41,1.5499,0.42,1.5217
42,,0.41,1.5505,0.43,1.5219
43,,0.41,1.5502,0.42,1.5219
44,,0.41,1.5503,0.43,1.5226
45,,0.41,1.5503,0.42,1.5220
46,,0.41,1.5499,0.43,1.5218
47,,0.41,1.5505,0.42,1.5217
48,,0.41,1.5501,0.43,1.5220
49,,0.41,1.5501,0.43,1.5217
