,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,1.6866,0.43,1.9897
1,,0.46,1.5504,0.14,3.3552
2,,0.48,1.5304,0.37,2.2694
3,,0.50,1.5028,0.27,2.8705
4,,0.51,1.3821,0.34,3.2350
5,,0.57,1.2241,0.29,3.4958
6,,0.59,1.1782,0.60,1.6643
7,,0.62,1.0489,0.44,3.1772
8,,0.61,1.0913,0.46,2.4289
9,,0.62,1.0389,0.42,2.4085
10,,0.65,0.9859,0.53,1.9049
11,,0.65,1.0244,0.43,2.7168
12,,0.65,0.9873,0.57,1.8819
13,,0.62,1.1206,0.29,2.6729
14,,0.67,0.8777,0.48,1.9827
15,,0.67,0.9325,0.39,3.0234
16,,0.69,0.8810,0.33,2.1488
17,,0.70,0.8606,0.19,4.9976
18,,0.65,1.0290,0.46,4.5726
19,,0.71,0.8610,0.44,3.0366
20,,0.70,0.9673,0.62,1.6990
21,,0.68,0.9635,0.59,1.7283
22,,0.70,0.9280,0.43,3.2222
23,,0.68,1.0599,0.44,2.7210
24,,0.70,0.8939,0.52,2.2242
25,,0.76,0.7239,0.60,2.0543
26,,0.74,0.7915,0.52,2.0895
27,,0.75,0.7577,0.38,3.1183
28,,0.75,0.7782,0.49,2.9306
29,created new SGD optimizer with LR: 0.00100000000000000002,0.74,0.8359,0.59,2.4984
30,,0.76,0.7323,0.47,3.1909
31,,0.81,0.5408,0.59,1.4467
32,,0.85,0.3811,0.54,1.4429
33,,0.86,0.3229,0.57,1.4398
34,,0.89,0.2889,0.59,1.4900
35,,0.90,0.2696,0.58,1.4849
36,,0.90,0.2627,0.58,1.5087
37,,0.91,0.2286,0.55,1.5356
38,,0.91,0.2240,0.55,1.5194
39,,0.92,0.2151,0.55,1.6132
40,,0.93,0.1968,0.60,1.5469
41,,0.93,0.1869,0.55,1.5592
42,,0.94,0.1702,0.58,1.6085
43,,0.93,0.1750,0.58,1.5714
44,,0.94,0.1620,0.58,1.5671
45,,0.94,0.1659,0.57,1.6188
46,,0.94,0.1491,0.58,1.6606
47,,0.94,0.1466,0.59,1.5925
48,,0.95,0.1342,0.60,1.5932
49,,0.95,0.1271,0.58,1.6454
