,notes,train_acc,train_loss,val_acc,val_loss
0,,0.46,1.4969,0.15,2.6499
1,,0.44,1.4923,0.43,1.7045
2,,0.49,1.4256,0.24,2.4210
3,,0.50,1.3835,0.24,2.6397
4,,0.42,1.5460,0.43,1.5405
5,,0.43,1.5894,0.34,1.5704
6,,0.44,1.4560,0.42,1.6047
7,,0.48,1.3755,0.43,1.5208
8,,0.44,1.4433,0.45,1.4973
9,,0.49,1.4313,0.42,2.6952
10,,0.48,1.4204,0.46,1.6127
11,,0.51,1.3237,0.34,1.5743
12,,0.51,1.2959,0.38,1.6428
13,,0.54,1.2565,0.43,1.6893
14,,0.53,1.2887,0.46,2.8457
15,,0.56,1.1892,0.31,3.0930
16,,0.54,1.2320,0.36,2.0640
17,,0.59,1.1526,0.32,2.4733
18,,0.62,1.0385,0.45,1.5465
19,,0.64,1.0254,0.53,3.3268
20,,0.64,1.0099,0.26,4.8806
21,,0.65,0.9768,0.39,2.3022
22,,0.68,0.8621,0.53,1.3208
23,,0.72,0.8119,0.45,1.7555
24,,0.73,0.7393,0.51,1.8301
25,,0.75,0.6787,0.35,1.5946
26,,0.76,0.6960,0.55,1.7450
27,,0.80,0.5359,0.47,2.4156
28,,0.83,0.4819,0.47,2.3507
29,created new SGD optimizer with LR: 0.00100000000000000002,0.84,0.4337,0.44,2.4791
30,,0.90,0.3169,0.46,1.8134
31,,0.90,0.2829,0.60,1.4270
32,,0.95,0.1575,0.57,1.4765
33,,0.97,0.1054,0.58,1.4829
34,,0.98,0.0752,0.60,1.4521
35,,0.99,0.0551,0.59,1.5423
36,,0.99,0.0484,0.61,1.6002
37,,0.99,0.0358,0.59,1.7295
38,,1.00,0.0290,0.63,1.7111
39,,1.00,0.0246,0.62,1.8062
40,,1.00,0.0193,0.60,1.8552
41,,1.00,0.0182,0.63,1.8604
42,,1.00,0.0157,0.61,1.9067
43,,1.00,0.0139,0.61,2.0747
44,,1.00,0.0108,0.60,2.0450
45,,1.00,0.0107,0.61,2.0544
46,,1.00,0.0087,0.63,2.1117
47,,1.00,0.0072,0.62,2.1208
48,,1.00,0.0107,0.64,2.1734
49,,1.00,0.0072,0.63,2.1735
