,notes,train_acc,train_loss,val_acc,val_loss
0,,0.36,1.6331,0.43,1.8127
1,,0.38,1.6134,0.43,1.5364
2,,0.42,1.5831,0.42,1.5621
3,,0.42,1.5672,0.43,1.6012
4,,0.42,1.5705,0.43,1.5380
5,,0.41,1.5797,0.43,1.5266
6,,0.42,1.5710,0.43,1.5267
7,,0.42,1.5656,0.43,1.5539
8,,0.41,1.5507,0.43,1.5406
9,,0.42,1.5643,0.44,1.5366
10,,0.42,1.5697,0.43,1.5275
11,,0.41,1.5633,0.43,1.5371
12,,0.42,1.5691,0.43,1.5387
13,,0.42,1.5636,0.43,1.5256
14,,0.41,1.5594,0.42,1.5385
15,,0.41,1.5615,0.42,1.5321
16,,0.42,1.5663,0.43,1.5273
17,,0.41,1.5720,0.43,1.5344
18,,0.41,1.5637,0.43,1.5441
19,,0.41,1.5655,0.43,1.5239
20,,0.42,1.5646,0.42,1.5280
21,,0.42,1.5608,0.43,1.5221
22,,0.41,1.5586,0.42,1.5303
23,,0.41,1.5642,0.43,1.5239
24,,0.41,1.5558,0.43,1.5271
25,,0.42,1.5630,0.43,1.5223
26,,0.42,1.5606,0.43,1.5376
27,,0.43,1.5583,0.43,1.5260
28,,0.41,1.5569,0.43,1.5216
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5557,0.42,1.5243
30,,0.41,1.5633,0.42,1.5228
31,,0.41,1.5510,0.43,1.5227
32,,0.43,1.5507,0.43,1.5221
33,,0.41,1.5505,0.43,1.5219
34,,0.41,1.5505,0.43,1.5219
35,,0.41,1.5501,0.43,1.5221
36,,0.41,1.5505,0.43,1.5222
37,,0.41,1.5503,0.42,1.5220
38,,0.41,1.5500,0.43,1.5220
39,,0.42,1.5499,0.42,1.5217
40,,0.42,1.5499,0.43,1.5216
41,,0.41,1.5500,0.43,1.5214
42,,0.41,1.5503,0.43,1.5216
43,,0.42,1.5501,0.43,1.5218
44,,0.41,1.5498,0.43,1.5216
45,,0.41,1.5501,0.43,1.5215
46,,0.41,1.5504,0.43,1.5219
47,,0.41,1.5499,0.42,1.5218
48,,0.41,1.5499,0.43,1.5217
49,,0.42,1.5499,0.43,1.5216
