,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,4.4718,0.07,61.5176
1,,0.41,16.2883,0.18,83.3783
2,,0.41,24.3864,0.46,26.0506
3,,0.40,30.6709,0.25,32.2629
4,,0.43,53.1610,0.43,114.1259
5,,0.40,44.5732,0.33,42.2048
6,,0.40,50.7614,0.16,229.8271
7,,0.40,111.1219,0.33,1487.5414
8,,0.39,273.0200,0.24,580.8815
9,,0.39,200.7729,0.18,177.9020
10,,0.40,235.2016,0.12,423.7813
11,,0.40,238.7485,0.15,692.5837
12,,0.39,160.9300,0.16,971.1838
13,,0.39,228.7044,0.43,201.8650
14,,0.38,430.0295,0.16,2422.9838
15,,0.39,485.7584,0.43,581.8333
16,,0.42,348.0381,0.44,841.7370
17,,0.40,770.0337,0.42,1045.9664
18,,0.36,848.5523,0.25,1357.5297
19,,0.40,922.5654,0.25,3743.1402
20,,0.38,1303.5839,0.40,1471.7954
21,,0.39,1453.8503,0.25,3158.4739
22,,0.41,1932.2378,0.16,19040.6821
23,,0.38,3678.9133,0.24,3599.4573
24,,0.41,1815.0641,0.49,13264.6938
25,,0.40,2470.6738,0.15,41214.3118
26,,0.40,5526.9608,0.21,31606.1877
27,,0.38,6681.8932,0.44,18567.3044
28,,0.37,3728.4339,0.25,25516.8468
29,created new SGD optimizer with LR: 0.00100000000000000002,0.38,6757.4186,0.09,15188.2418
30,,0.40,3528.5443,0.15,19667.8800
31,,0.39,1363.5482,0.45,773.9837
32,,0.40,506.1525,0.19,714.4780
33,,0.39,421.0475,0.39,260.3415
34,,0.40,376.1032,0.35,636.7874
35,,0.39,291.4655,0.24,642.3149
36,,0.39,365.5682,0.41,670.5205
37,,0.41,279.2253,0.27,230.7680
38,,0.40,273.9867,0.31,329.5919
39,,0.42,266.7981,0.41,203.2783
40,,0.40,246.9508,0.32,603.8401
41,,0.40,273.8421,0.33,527.6958
42,,0.42,253.4625,0.42,313.6738
43,,0.39,222.7622,0.43,238.9985
44,,0.44,241.4390,0.41,267.2064
45,,0.40,221.2623,0.37,192.9400
46,,0.40,238.1174,0.39,136.3111
47,,0.39,230.8225,0.33,162.2890
48,,0.41,192.4769,0.39,307.7746
49,,0.41,228.4176,0.45,280.4591
