,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.6165,0.44,1.5268
1,,0.40,1.5810,0.43,1.5575
2,,0.40,1.5713,0.43,1.5293
3,,0.42,1.5592,0.43,1.5672
4,,0.42,1.5611,0.42,1.5314
5,,0.41,1.5611,0.43,1.5391
6,,0.43,1.5669,0.43,1.5382
7,,0.41,1.5675,0.44,1.5359
8,,0.42,1.5623,0.43,1.5241
9,,0.42,1.5608,0.42,1.5295
10,,0.41,1.5606,0.43,1.5183
11,,0.42,1.5560,0.42,1.5274
12,,0.44,1.5071,0.24,2.3903
13,,0.41,1.5552,0.43,1.5298
14,,0.42,1.5609,0.43,1.5216
15,,0.42,1.5551,0.43,1.5296
16,,0.41,1.5616,0.43,1.5227
17,,0.42,1.5529,0.43,1.5248
18,,0.42,1.5576,0.43,1.5250
19,,0.42,1.5546,0.42,1.5201
20,,0.41,1.5416,0.24,1.8663
21,,0.42,1.5526,0.42,1.5219
22,,0.42,1.5531,0.43,1.5221
23,,0.41,1.5411,0.43,1.6165
24,,0.41,1.5516,0.43,1.5263
25,,0.40,1.5176,0.43,2.9326
26,,0.42,1.5663,0.43,1.5236
27,,0.42,1.5343,0.43,1.5230
28,,0.41,1.5241,0.38,1.6272
29,created new SGD optimizer with LR: 0.00100000000000000002,0.45,1.4588,0.43,1.5129
30,,0.41,1.5243,0.39,1.6028
31,,0.42,1.5005,0.34,1.7255
32,,0.43,1.4460,0.46,1.5348
33,,0.42,1.4094,0.46,1.4888
34,,0.47,1.3494,0.46,1.4687
35,,0.48,1.3478,0.43,1.5284
36,,0.51,1.2896,0.45,1.4483
37,,0.53,1.2272,0.45,1.5103
38,,0.53,1.1986,0.48,1.4443
39,,0.56,1.1474,0.49,1.3689
40,,0.60,1.0898,0.46,1.7998
41,,0.61,1.0247,0.52,1.3413
42,,0.63,0.9693,0.44,1.5509
43,,0.66,0.8904,0.35,2.1059
44,,0.67,0.8543,0.46,1.4217
45,,0.74,0.7240,0.51,2.0060
46,,0.76,0.6360,0.52,1.2706
47,,0.79,0.6021,0.48,1.6499
48,,0.82,0.4975,0.53,1.6743
49,,0.84,0.4518,0.45,1.6750
