,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,1.4744,0.57,1.7672
1,,0.63,1.1591,0.53,1.8840
2,,0.67,1.0448,0.53,1.8118
3,,0.74,0.7756,0.61,1.1215
4,,0.72,0.8425,0.42,2.3206
5,,0.69,0.9939,0.37,2.4425
6,,0.77,0.7368,0.58,2.3809
7,,0.78,0.6251,0.57,1.5311
8,,0.82,0.5386,0.61,1.3383
9,,0.80,0.5400,0.54,1.3866
10,,0.75,0.7610,0.54,1.6550
11,,0.83,0.4826,0.57,1.3648
12,,0.82,0.5337,0.52,2.8365
13,,0.81,0.5716,0.60,1.7284
14,,0.83,0.4888,0.59,1.3552
15,,0.76,0.7739,0.52,2.6462
16,,0.81,0.5206,0.64,1.2489
17,,0.83,0.4749,0.60,1.4300
18,,0.76,0.7684,0.62,1.4421
19,,0.79,0.7104,0.47,2.2661
20,,0.79,0.7432,0.58,1.5510
21,,0.81,0.5882,0.48,2.3534
22,,0.83,0.5433,0.48,1.7285
23,,0.86,0.4201,0.59,1.6566
24,,0.82,0.5255,0.58,1.5377
25,,0.87,0.3729,0.59,1.4592
26,,0.83,0.5141,0.59,1.7740
27,,0.84,0.4980,0.63,1.5024
28,,0.86,0.3648,0.60,1.6856
29,created new SGD optimizer with LR: 0.00100000000000000002,0.84,0.4800,0.47,2.2696
30,,0.80,0.6486,0.55,2.0005
31,,0.82,0.5428,0.51,1.8709
32,,0.89,0.3001,0.61,1.4937
33,,0.87,0.3272,0.60,1.7204
34,,0.88,0.3137,0.63,1.4715
35,,0.90,0.2852,0.51,2.2084
36,,0.90,0.2863,0.58,1.7355
37,,0.89,0.3145,0.60,1.5874
38,,0.86,0.3682,0.58,1.7817
39,,0.85,0.3962,0.60,1.6481
40,,0.89,0.2939,0.63,1.5977
41,,0.90,0.2525,0.59,1.7169
42,,0.88,0.3364,0.60,1.5111
43,,0.89,0.3011,0.62,1.6475
44,,0.89,0.2922,0.60,1.3728
45,,0.88,0.3190,0.61,1.4809
46,,0.87,0.3313,0.59,1.6031
47,,0.88,0.3280,0.60,1.6109
48,,0.89,0.3193,0.60,1.6383
49,,0.88,0.3368,0.60,1.5476
