,notes,train_acc,train_loss,val_acc,val_loss
0,,0.72,0.9381,0.58,2.3075
1,,0.85,0.5103,0.60,2.4774
2,,0.93,0.2601,0.55,3.1972
3,,0.96,0.1437,0.72,1.2943
4,,0.96,0.1501,0.69,1.1232
5,,0.99,0.0464,0.70,2.1695
6,,0.98,0.0762,0.72,1.0833
7,,1.00,0.0242,0.78,1.4793
8,,0.99,0.0328,0.78,1.2151
9,,0.99,0.0235,0.81,0.8770
10,,1.00,0.0083,0.78,1.1207
11,,1.00,0.0142,0.72,1.2357
12,,0.99,0.0218,0.69,2.4017
13,,1.00,0.0114,0.74,1.1874
14,,1.00,0.0109,0.80,0.9656
15,,1.00,0.0081,0.81,1.7647
16,,1.00,0.0044,0.74,1.4254
17,,1.00,0.0031,0.76,1.6518
18,,1.00,0.0032,0.70,3.4266
19,,1.00,0.0087,0.82,1.0483
20,,0.99,0.0133,0.75,2.0735
21,,0.99,0.0340,0.78,2.2120
22,,0.99,0.0252,0.75,1.8885
23,,0.99,0.0123,0.73,1.5637
24,,0.99,0.0208,0.76,2.0535
25,,1.00,0.0046,0.73,1.8149
26,,1.00,0.0149,0.72,2.0394
27,,1.00,0.0065,0.76,1.9221
28,,1.00,0.0030,0.77,1.6067
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0079,0.72,1.7975
30,,1.00,0.0049,0.78,1.5253
31,,0.99,0.0139,0.76,1.9847
32,,1.00,0.0129,0.77,1.3560
33,,1.00,0.0036,0.74,1.5756
34,,1.00,0.0020,0.70,2.0270
35,,0.99,0.0182,0.81,1.1489
36,,1.00,0.0075,0.82,1.2538
37,,1.00,0.0026,0.84,0.6234
38,,1.00,0.0089,0.85,1.1379
39,,1.00,0.0038,0.83,1.1012
40,,0.98,0.0185,0.77,1.8650
41,,1.00,0.0132,0.82,1.1303
42,,1.00,0.0063,0.79,1.5631
43,,0.97,0.0736,0.74,2.9595
44,,0.99,0.0271,0.68,1.4525
45,,1.00,0.0030,0.73,1.4405
46,,1.00,0.0076,0.80,0.9048
47,,1.00,0.0009,0.77,1.1458
48,,1.00,0.0048,0.70,1.4381
49,,1.00,0.0178,0.68,1.8710
