,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.6292,0.21,2.6099
1,,0.45,1.5878,0.38,4.1087
2,,0.51,1.4731,0.53,1.5344
3,,0.53,1.4186,0.16,15.2094
4,,0.47,1.8559,0.51,1.6884
5,,0.49,2.5010,0.43,12.4640
6,,0.42,3.9496,0.45,2.4172
7,,0.50,1.8419,0.34,5.5144
8,,0.51,1.4879,0.42,2.4060
9,,0.54,1.3316,0.44,1.4859
10,,0.55,1.2970,0.43,4.6090
11,,0.55,1.3310,0.33,1.7529
12,,0.54,1.3775,0.49,1.6570
13,,0.50,1.7015,0.40,1.4892
14,,0.56,1.2533,0.30,2.3249
15,,0.55,1.4625,0.25,2.0307
16,,0.55,1.2259,0.45,1.4580
17,,0.58,1.3491,0.53,2.0085
18,,0.58,1.1778,0.25,3.7981
19,,0.59,1.3112,0.43,3.3974
20,,0.58,1.2215,0.44,2.5032
21,,0.61,1.1470,0.28,2.8681
22,,0.62,1.2919,0.31,5.4611
23,,0.57,1.5674,0.53,1.3926
24,,0.63,1.0496,0.29,7.3605
25,,0.63,1.1697,0.55,1.7872
26,,0.64,1.0054,0.14,7.1132
27,,0.63,1.1912,0.57,1.3850
28,,0.67,0.9609,0.41,2.6664
29,created new SGD optimizer with LR: 0.00100000000000000002,0.67,0.9510,0.52,1.8944
30,,0.61,1.2101,0.55,1.3696
31,,0.72,0.8006,0.56,1.2636
32,,0.71,0.7718,0.55,1.2773
33,,0.71,0.7616,0.60,1.3620
34,,0.73,0.7375,0.60,1.1795
35,,0.73,0.7497,0.54,1.1961
36,,0.73,0.7145,0.57,1.2826
37,,0.75,0.7039,0.57,1.1736
38,,0.72,0.7091,0.53,1.2844
39,,0.74,0.7069,0.58,1.2371
40,,0.71,0.7563,0.56,1.2778
41,,0.73,0.7158,0.58,1.2127
42,,0.73,0.7067,0.56,1.2790
43,,0.75,0.6825,0.55,1.2033
44,,0.76,0.6957,0.61,1.2462
45,,0.75,0.6891,0.59,1.1559
46,,0.73,0.6729,0.56,1.3058
47,,0.75,0.6781,0.52,1.2362
48,,0.76,0.6863,0.60,1.2604
49,,0.75,0.6931,0.55,1.2829
