,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.4834,0.40,2.4745
1,,0.50,1.3428,0.43,4.3010
2,,0.51,1.3416,0.44,2.0966
3,,0.59,1.0898,0.55,3.5338
4,,0.60,1.1504,0.45,1.9239
5,,0.66,0.9183,0.30,4.1623
6,,0.66,0.9479,0.46,1.8545
7,,0.74,0.7347,0.23,5.6942
8,,0.76,0.6785,0.56,1.2920
9,,0.88,0.3989,0.54,2.2960
10,,0.87,0.4051,0.54,2.8701
11,,0.92,0.2613,0.49,3.2669
12,,0.93,0.2397,0.53,2.4656
13,,0.94,0.2240,0.53,2.5819
14,,0.95,0.1542,0.60,2.0451
15,,0.95,0.1450,0.61,3.2069
16,,0.95,0.1597,0.64,2.8147
17,,0.98,0.0796,0.57,2.9987
18,,0.95,0.1924,0.71,1.9241
19,,0.98,0.0513,0.51,3.9265
20,,0.99,0.0302,0.56,3.6201
21,,1.00,0.0092,0.72,2.2861
22,,1.00,0.0156,0.58,3.2246
23,,0.99,0.0264,0.64,3.6304
24,,0.99,0.0341,0.64,1.7766
25,,1.00,0.0130,0.70,2.8771
26,,0.98,0.0602,0.60,2.0820
27,,0.99,0.0350,0.70,2.4482
28,,0.99,0.0499,0.62,2.6975
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0146,0.70,2.5085
30,,1.00,0.0075,0.73,1.9343
31,,1.00,0.0117,0.70,3.0147
32,,1.00,0.0053,0.72,2.8570
33,,1.00,0.0049,0.72,2.2537
34,,1.00,0.0073,0.74,2.2129
35,,0.99,0.0046,0.74,2.3016
36,,1.00,0.0060,0.70,2.1371
37,,1.00,0.0010,0.70,2.0434
38,,1.00,0.0040,0.74,1.8891
39,,1.00,0.0046,0.65,2.9832
40,,1.00,0.0019,0.68,2.4003
41,,1.00,0.0041,0.69,2.6358
42,,1.00,0.0009,0.73,2.5523
43,,1.00,0.0029,0.70,2.9854
44,,1.00,0.0013,0.73,2.0357
45,,1.00,0.0007,0.72,2.4300
46,,1.00,0.0013,0.70,2.4437
47,,1.00,0.0021,0.67,2.7327
48,,1.00,0.0011,0.66,2.3989
49,,1.00,0.0019,0.74,2.0037
