,notes,train_acc,train_loss,val_acc,val_loss
0,,0.38,1.6174,0.43,2.1962
1,,0.42,1.5907,0.31,1.7566
2,,0.46,1.5050,0.08,2.6618
3,,0.45,1.5402,0.42,2.7774
4,,0.46,1.5455,0.41,1.9278
5,,0.49,1.4786,0.43,2.4322
6,,0.43,1.5004,0.43,2.4742
7,,0.47,1.4813,0.43,2.5537
8,,0.47,1.4658,0.43,2.7486
9,,0.48,1.4261,0.43,2.1976
10,,0.48,1.4296,0.40,2.1868
11,,0.48,1.4382,0.43,2.2899
12,,0.49,1.4271,0.43,1.6696
13,,0.44,1.5092,0.43,2.5096
14,,0.50,1.3742,0.30,2.3356
15,,0.47,1.4235,0.43,3.3347
16,,0.49,1.4020,0.41,2.4569
17,,0.51,1.3959,0.16,3.4084
18,,0.47,1.4214,0.42,2.6483
19,,0.52,1.3123,0.43,3.5707
20,,0.52,1.3462,0.43,2.8265
21,,0.56,1.2924,0.43,3.2378
22,,0.57,1.2621,0.43,3.4689
23,,0.54,1.2753,0.17,2.4911
24,,0.56,1.2486,0.16,4.3246
25,,0.56,1.2273,0.43,2.8949
26,,0.59,1.1698,0.49,1.6731
27,,0.59,1.1581,0.46,2.2616
28,,0.58,1.2057,0.46,2.3135
29,created new SGD optimizer with LR: 0.00100000000000000002,0.62,1.1366,0.43,2.2760
30,,0.55,1.2158,0.38,1.5411
31,,0.62,1.0961,0.46,2.1006
32,,0.63,1.0151,0.43,2.1124
33,,0.61,1.0565,0.45,2.2477
34,,0.64,1.0261,0.45,1.8286
35,,0.65,1.0077,0.45,2.2508
36,,0.63,1.0040,0.40,2.6893
37,,0.64,1.0102,0.43,2.3947
38,,0.64,1.0357,0.44,2.5310
39,,0.63,1.0376,0.44,2.8586
40,,0.63,0.9987,0.35,2.5475
41,,0.61,1.0207,0.39,2.5737
42,,0.63,1.0380,0.40,2.4298
43,,0.66,0.9596,0.43,2.7940
44,,0.64,1.0059,0.43,2.8029
45,,0.63,1.0016,0.41,2.8636
46,,0.64,0.9724,0.44,2.8941
47,,0.63,1.0021,0.43,2.5807
48,,0.66,0.9487,0.42,3.0226
49,,0.66,0.9622,0.42,3.3487
