,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5643,0.43,1.7110
1,,0.51,1.4278,0.43,1.5622
2,,0.49,1.3650,0.29,1.6766
3,,0.51,1.3111,0.43,1.9544
4,,0.60,1.0935,0.37,6.9809
5,,0.65,1.0141,0.44,1.9439
6,,0.66,0.9201,0.48,2.3966
7,,0.71,0.8503,0.54,2.3186
8,,0.78,0.6776,0.53,2.8606
9,,0.78,0.6439,0.59,1.2395
10,,0.83,0.5110,0.39,3.0807
11,,0.83,0.4571,0.58,1.8475
12,,0.89,0.3650,0.55,2.7039
13,,0.91,0.3080,0.52,4.0629
14,,0.93,0.1987,0.64,1.9056
15,,0.95,0.1698,0.69,1.2505
16,,0.97,0.1137,0.63,1.6019
17,,0.97,0.0865,0.37,4.7224
18,,0.95,0.1684,0.64,1.7316
19,,0.98,0.0673,0.65,2.0907
20,,0.98,0.0862,0.59,4.8961
21,,0.96,0.0946,0.49,3.1762
22,,0.98,0.0725,0.67,1.4701
23,,1.00,0.0300,0.56,2.1793
24,,0.99,0.0390,0.51,2.3974
25,,0.99,0.0338,0.65,2.2117
26,,0.99,0.0249,0.61,3.4893
27,,0.99,0.0242,0.67,2.0097
28,,1.00,0.0153,0.64,2.3719
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0167,0.68,2.0857
30,,1.00,0.0146,0.74,2.2744
31,,0.96,0.1179,0.57,6.0375
32,,0.99,0.0405,0.67,2.0500
33,,1.00,0.0126,0.70,1.5365
34,,1.00,0.0095,0.65,2.0856
35,,1.00,0.0057,0.57,2.3765
36,,0.99,0.0212,0.57,6.5413
37,,0.99,0.0214,0.70,1.9841
38,,0.99,0.0236,0.64,2.2875
39,,1.00,0.0106,0.66,1.8662
40,,1.00,0.0054,0.71,1.5153
41,,1.00,0.0045,0.65,2.4529
42,,1.00,0.0082,0.69,2.2206
43,,1.00,0.0129,0.72,1.2041
44,,1.00,0.0116,0.71,1.3719
45,,1.00,0.0042,0.73,1.1569
46,,1.00,0.0029,0.68,1.9375
47,,0.99,0.0235,0.62,3.0385
48,,1.00,0.0070,0.70,1.4280
49,,1.00,0.0060,0.69,1.4121
