,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5740,0.43,63.8341
1,,0.41,1.5912,0.43,1.8238
2,,0.38,1.6092,0.43,1.6683
3,,0.41,1.5390,0.24,1.9572
4,,0.42,1.5646,0.24,1.5967
5,,0.44,1.5182,0.42,1.5947
6,,0.48,1.4588,0.42,1.5684
7,,0.48,1.4648,0.42,1.5280
8,,0.44,1.5366,0.43,1.6794
9,,0.48,1.4419,0.25,1.9959
10,,0.45,1.5201,0.43,2.3776
11,,0.50,1.4323,0.42,3.1775
12,,0.49,1.4362,0.43,1.6911
13,,0.51,1.4197,0.42,2.0118
14,,0.50,1.3998,0.43,1.6232
15,,0.38,nan,0.02,nan
16,,0.02,nan,0.02,nan
17,,0.02,nan,0.02,nan
18,,0.02,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.02,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.02,nan,0.02,nan
29,created new Adam optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.03,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.02,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
