,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.5174,0.35,1.8265
1,,0.49,1.4714,0.49,1.4070
2,,0.51,1.3102,0.50,1.7423
3,,0.52,1.3001,0.52,1.4137
4,,0.54,1.2800,0.43,1.5914
5,,0.57,1.2320,0.59,1.4050
6,,0.56,1.2156,0.47,1.3176
7,,0.57,1.1455,0.50,1.3182
8,,0.53,1.2789,0.52,1.4288
9,,0.58,1.1297,0.52,1.2404
10,,0.56,1.1522,0.59,1.5178
11,,0.55,1.2492,0.43,3.2728
12,,0.50,1.3956,0.37,2.9504
13,,0.55,1.2467,0.24,2.5473
14,,0.55,1.2312,0.54,2.0808
15,,0.53,1.2812,0.45,1.5267
16,,0.54,1.3004,0.16,12.8749
17,,0.50,1.4263,0.24,56.1379
18,,0.48,1.4765,0.43,12.5799
19,,0.50,1.4259,0.16,29.7293
20,,0.50,1.4585,0.16,27.8905
21,,0.55,1.2925,0.25,17.8664
22,,0.53,1.3449,0.16,11.8603
23,,0.51,1.3898,0.24,26.2586
24,,0.55,1.3303,0.16,21.4946
25,,0.55,1.2846,0.16,24.7250
26,,0.55,1.2445,0.16,19.2478
27,,0.52,1.3028,0.16,31.4601
28,,0.58,1.2035,0.16,14.2421
29,created new SGD optimizer with LR: 0.00100000000000000002,0.55,1.2850,0.24,5.5205
30,,0.55,1.2760,0.16,6.4524
31,,0.60,1.0355,0.16,6.3182
32,,0.62,1.0506,0.16,5.6838
33,,0.62,1.0135,0.16,8.2708
34,,0.60,1.0604,0.16,6.8482
35,,0.63,0.9870,0.16,8.7617
36,,0.62,0.9830,0.16,6.8693
37,,0.65,0.9480,0.16,8.8900
38,,0.64,0.9459,0.16,7.2913
39,,0.64,0.9696,0.16,10.0214
40,,0.64,0.9443,0.16,11.0270
41,,0.66,0.9103,0.16,8.2741
42,,0.64,0.8952,0.16,9.5435
43,,0.66,0.9184,0.16,9.7104
44,,0.65,0.9023,0.16,9.8105
45,,0.61,0.9622,0.16,10.5497
46,,0.65,0.9015,0.16,8.3835
47,,0.67,0.8966,0.16,10.0489
48,,0.64,0.9401,0.16,11.9929
49,,0.64,0.9156,0.16,12.4632
