,notes,train_acc,train_loss,val_acc,val_loss
0,,0.51,1.3893,0.46,4.4405
1,,0.61,1.1197,0.29,2.6965
2,,0.67,0.9897,0.37,2.4279
3,,0.74,0.8189,0.51,1.7072
4,,0.76,0.7212,0.62,1.4390
5,,0.84,0.5027,0.64,1.7078
6,,0.82,0.6324,0.60,3.0187
7,,0.85,0.5067,0.50,2.1086
8,,0.88,0.3566,0.73,1.5277
9,,0.87,0.4324,0.57,3.1684
10,,0.94,0.2057,0.62,2.4189
11,,0.96,0.1427,0.56,2.9445
12,,0.98,0.0784,0.70,1.3586
13,,0.98,0.0648,0.75,1.3361
14,,0.99,0.0315,0.73,1.6097
15,,0.99,0.0432,0.63,2.8448
16,,0.99,0.0308,0.57,2.6456
17,,0.99,0.0397,0.71,1.7328
18,,0.99,0.0359,0.73,1.2369
19,,0.99,0.0363,0.60,2.1552
20,,1.00,0.0135,0.66,1.8047
21,,1.00,0.0124,0.73,1.3128
22,,1.00,0.0176,0.65,2.2033
23,,1.00,0.0135,0.60,2.4218
24,,0.99,0.0141,0.73,2.2283
25,,0.99,0.0396,0.67,2.4080
26,,0.99,0.0474,0.70,1.8987
27,,1.00,0.0108,0.69,1.7316
28,,1.00,0.0125,0.67,1.9375
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0158,0.62,3.8365
30,,0.99,0.0409,0.66,1.5698
31,,0.98,0.0522,0.59,5.3034
32,,0.98,0.0396,0.62,3.1797
33,,0.99,0.0309,0.70,1.8168
34,,1.00,0.0067,0.67,1.4340
35,,0.99,0.0314,0.81,1.1318
36,,1.00,0.0074,0.73,1.1725
37,,1.00,0.0102,0.63,2.0278
38,,0.99,0.0203,0.63,2.7152
39,,1.00,0.0151,0.71,1.5389
40,,1.00,0.0102,0.70,1.8463
41,,0.99,0.0325,0.71,1.5451
42,,1.00,0.0112,0.71,2.8139
43,,0.99,0.0185,0.68,2.9102
44,,1.00,0.0153,0.76,1.3647
45,,1.00,0.0174,0.65,1.6311
46,,1.00,0.0074,0.69,2.0070
47,,1.00,0.0057,0.72,1.1264
48,,0.99,0.0128,0.53,2.7264
49,,1.00,0.0144,0.72,1.3215
