,notes,train_acc,train_loss,val_acc,val_loss
0,,0.40,1.6222,0.30,1.6127
1,,0.39,1.6212,0.21,1.6722
2,,0.43,1.5495,0.43,1.7017
3,,0.47,1.5224,0.44,1.6104
4,,0.45,1.5587,0.42,1.6445
5,,0.47,1.5271,0.50,1.4646
6,,0.49,1.4890,0.26,1.6054
7,,0.48,1.4846,0.44,1.4944
8,,0.46,1.5204,0.52,1.5309
9,,0.47,1.5398,0.48,1.4629
10,,0.47,1.4982,0.32,1.6477
11,,0.51,1.4617,0.43,2.1665
12,,0.49,1.4749,0.51,1.4175
13,,0.49,1.4458,0.48,1.6254
14,,0.45,1.5118,0.27,1.9300
15,,0.46,1.5077,0.52,1.7410
16,,0.50,1.4360,0.32,1.8706
17,,0.51,1.4130,0.48,1.8448
18,,0.48,1.4672,0.45,1.4935
19,,0.51,1.3970,0.52,1.4477
20,,0.50,1.3898,0.46,1.5678
21,,0.49,1.4294,0.43,1.5580
22,,0.50,1.3917,0.51,1.3789
23,,0.50,1.3868,0.51,1.4102
24,,0.50,1.3960,0.46,1.4821
25,,0.49,1.3683,0.44,1.5992
26,,0.51,1.3397,0.19,1.8204
27,,0.48,1.4270,0.42,1.4270
28,,0.52,1.3658,0.49,1.3636
29,created new SGD optimizer with LR: 0.00100000000000000002,0.51,1.3619,0.53,1.4520
30,,0.54,1.3376,0.37,1.6705
31,,0.51,1.3488,0.51,1.3616
32,,0.55,1.2484,0.50,1.3442
33,,0.51,1.3018,0.51,1.3387
34,,0.52,1.2718,0.49,1.4597
35,,0.53,1.2768,0.51,1.3249
36,,0.54,1.2870,0.49,1.3339
37,,0.55,1.2571,0.43,1.5350
38,,0.51,1.2855,0.48,1.4035
39,,0.53,1.2966,0.51,1.3087
40,,0.53,1.2981,0.51,1.3208
41,,0.53,1.2579,0.48,1.3824
42,,0.52,1.2835,0.50,1.3343
43,,0.52,1.2613,0.50,1.3325
44,,0.52,1.3013,0.49,1.3301
45,,0.53,1.2905,0.44,1.4640
46,,0.54,1.2333,0.51,1.3549
47,,0.53,1.3127,0.49,1.4411
48,,0.50,1.3036,0.48,1.4317
49,,0.52,1.2606,0.43,1.4420
