,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.5519,0.52,1.4194
1,,0.51,1.4051,0.29,1.8569
2,,0.54,1.3073,0.44,1.4724
3,,0.55,1.2193,0.53,1.3241
4,,0.59,1.0903,0.42,1.7539
5,,0.60,1.1007,0.49,1.6325
6,,0.61,1.1241,0.54,1.4432
7,,0.68,0.8597,0.47,1.6892
8,,0.74,0.7699,0.52,2.2450
9,,0.78,0.6445,0.35,3.0854
10,,0.78,0.6775,0.45,1.9465
11,,0.83,0.5233,0.53,2.7851
12,,0.88,0.3338,0.60,2.2079
13,,0.91,0.2903,0.52,1.8720
14,,0.88,0.3355,0.53,2.4250
15,,0.91,0.3121,0.49,1.5666
16,,0.95,0.1569,0.63,2.3993
17,,0.96,0.1346,0.50,2.3655
18,,0.97,0.1113,0.48,2.4987
19,,0.95,0.1864,0.51,3.1241
20,,0.98,0.0793,0.63,1.4623
21,,0.98,0.0802,0.50,2.0020
22,,0.98,0.0764,0.60,2.0430
23,,0.97,0.0898,0.42,3.4316
24,,0.97,0.0937,0.41,3.5987
25,,0.98,0.0698,0.51,1.9927
26,,0.98,0.0948,0.54,2.8492
27,,0.99,0.0500,0.55,2.1240
28,,0.98,0.0859,0.58,2.0228
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0455,0.48,3.4408
30,,0.98,0.0716,0.61,2.6141
31,,0.98,0.0717,0.47,2.7467
32,,0.98,0.0518,0.50,2.3695
33,,0.99,0.0420,0.60,2.1535
34,,1.00,0.0160,0.59,2.5727
35,,1.00,0.0161,0.59,1.9424
36,,1.00,0.0115,0.59,2.0763
37,,1.00,0.0088,0.62,2.0545
38,,1.00,0.0116,0.55,2.1105
39,,0.98,0.0363,0.55,3.2100
40,,1.00,0.0097,0.51,2.6356
41,,0.99,0.0171,0.56,2.1256
42,,1.00,0.0086,0.55,2.0094
43,,1.00,0.0113,0.51,2.5892
44,,1.00,0.0108,0.53,1.9414
45,,1.00,0.0100,0.63,2.7972
46,,1.00,0.0063,0.58,2.0998
47,,1.00,0.0143,0.57,3.2542
48,,1.00,0.0091,0.51,2.6362
49,,1.00,0.0136,0.59,3.2604
