,notes,train_acc,train_loss,val_acc,val_loss
0,,0.55,1.4226,0.25,4.9008
1,,0.63,1.2403,0.47,3.0174
2,,0.67,1.0489,0.17,5.5039
3,,0.74,0.9424,0.48,4.3648
4,,0.73,0.8001,0.37,3.5242
5,,0.74,0.8229,0.49,2.9450
6,,0.76,0.7177,0.50,1.9190
7,,0.73,0.8561,0.45,2.0511
8,,0.69,1.1437,0.55,1.6027
9,,0.75,0.8129,0.69,1.5060
10,,0.77,0.6782,0.45,2.9508
11,,0.78,0.7598,0.51,10.4068
12,,0.79,0.5628,0.29,5.5173
13,,0.80,0.7105,0.61,1.6097
14,,0.78,0.6679,0.52,3.0335
15,,0.78,0.7063,0.41,3.9279
16,,0.80,0.6838,0.56,1.9894
17,,0.77,0.7502,0.45,2.5870
18,,0.80,0.5874,0.65,2.7185
19,,0.82,0.5125,0.43,2.6258
20,,0.82,0.4950,0.62,2.0760
21,,0.83,0.4842,0.67,1.1626
22,,0.81,0.5265,0.64,1.8512
23,,0.83,0.5069,0.63,2.3409
24,,0.81,0.5718,0.42,16.6465
25,,0.84,0.4666,0.63,1.6038
26,,0.82,0.5804,0.59,2.3274
27,,0.83,0.5116,0.66,1.3646
28,,0.85,0.4859,0.62,1.1423
29,created new SGD optimizer with LR: 0.00100000000000000002,0.79,0.7338,0.65,2.3764
30,,0.86,0.4110,0.61,4.4409
31,,0.84,0.3984,0.69,1.0066
32,,0.86,0.3716,0.59,2.0969
33,,0.88,0.3222,0.68,1.0334
34,,0.85,0.3865,0.60,3.2742
35,,0.87,0.3905,0.64,1.5879
36,,0.88,0.3131,0.66,1.3634
37,,0.89,0.2894,0.71,1.4193
38,,0.88,0.3377,0.68,1.2551
39,,0.89,0.2897,0.71,0.9810
40,,0.88,0.2985,0.72,0.7896
41,,0.87,0.3441,0.73,1.0392
42,,0.88,0.3024,0.69,0.8637
43,,0.89,0.2691,0.63,3.2149
44,,0.88,0.3689,0.64,2.3163
45,,0.85,0.3795,0.67,2.0278
46,,0.89,0.3024,0.70,1.7378
47,,0.88,0.3152,0.69,1.5671
48,,0.88,0.3595,0.67,2.1930
49,,0.89,0.2958,0.70,1.1407
