,notes,train_acc,train_loss,val_acc,val_loss
0,,0.70,0.9697,0.35,2.9704
1,,0.82,0.6339,0.55,1.6374
2,,0.93,0.2370,0.60,2.6948
3,,0.95,0.1888,0.40,3.3720
4,,0.97,0.1127,0.70,1.3004
5,,0.97,0.0897,0.77,1.3937
6,,0.97,0.1015,0.61,2.0229
7,,0.97,0.1110,0.76,1.4972
8,,0.96,0.0885,0.61,2.2348
9,,0.97,0.0833,0.79,1.4869
10,,0.99,0.0317,0.78,2.1590
11,,0.98,0.0700,0.72,1.9477
12,,0.99,0.0275,0.71,2.7784
13,,0.97,0.1063,0.73,1.8931
14,,0.98,0.0751,0.63,1.9617
15,,0.96,0.1187,0.68,2.2557
16,,0.99,0.0343,0.69,1.5943
17,,0.99,0.0201,0.79,1.3938
18,,0.99,0.0191,0.70,1.8766
19,,0.99,0.0195,0.62,2.2415
20,,0.99,0.0204,0.78,1.1079
21,,1.00,0.0095,0.70,1.8088
22,,1.00,0.0070,0.81,1.2624
23,,1.00,0.0089,0.71,2.0725
24,,1.00,0.0113,0.82,1.6594
25,,1.00,0.0025,0.80,1.3593
26,,1.00,0.0062,0.74,1.7606
27,,0.99,0.0307,0.75,1.5803
28,,0.98,0.0326,0.71,1.6227
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0644,0.67,1.9647
30,,0.99,0.0375,0.77,1.8531
31,,1.00,0.0077,0.81,1.3570
32,,0.99,0.0331,0.72,1.6862
33,,1.00,0.0083,0.81,1.2085
34,,1.00,0.0170,0.74,2.3562
35,,1.00,0.0034,0.81,1.3050
36,,1.00,0.0070,0.80,1.4696
37,,1.00,0.0127,0.71,1.9362
38,,1.00,0.0118,0.76,1.5372
39,,1.00,0.0011,0.80,1.3152
40,,1.00,0.0115,0.72,2.1907
41,,1.00,0.0026,0.79,1.6442
42,,0.99,0.0098,0.72,2.9095
43,,1.00,0.0059,0.73,3.2572
44,,1.00,0.0035,0.73,1.3308
45,,1.00,0.0069,0.66,2.1574
46,,1.00,0.0122,0.77,1.6869
47,,0.99,0.0151,0.78,3.1134
48,,0.97,0.0509,0.73,3.8505
49,,0.99,0.0218,0.75,1.4785
