,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.5618,0.42,2.3041
1,,0.39,1.6035,0.16,1.6203
2,,0.39,1.5839,0.42,1.5427
3,,0.38,1.5805,0.42,1.5376
4,,0.40,1.5965,0.43,1.5270
5,,0.42,1.5650,0.43,1.5400
6,,0.42,1.5636,0.24,1.5608
7,,0.39,1.5796,0.43,1.5317
8,,0.41,1.5748,0.43,1.5453
9,,0.41,1.5684,0.43,1.5451
10,,0.40,1.5749,0.43,1.5406
11,,0.41,1.5721,0.43,1.5321
12,,0.41,1.5673,0.43,1.5469
13,,0.42,1.5673,0.43,1.5312
14,,0.42,1.5709,0.43,1.5371
15,,0.41,1.5743,0.43,1.5345
16,,0.41,1.5641,0.42,1.5297
17,,0.42,1.5692,0.43,1.5267
18,,0.41,1.5663,0.42,1.5407
19,,0.42,1.5584,0.42,1.5306
20,,0.41,1.5746,0.43,1.5230
21,,0.41,1.5656,0.42,1.5346
22,,0.41,1.5587,0.43,1.5297
23,,0.42,1.5564,0.43,1.5431
24,,0.41,1.5685,0.43,1.5372
25,,0.42,1.5669,0.43,1.5256
26,,0.41,1.5624,0.43,1.5292
27,,0.42,1.5581,0.43,1.5276
28,,0.42,1.5638,0.43,1.5314
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5620,0.42,1.5245
30,,0.41,1.5623,0.43,1.5329
31,,0.42,1.5579,0.43,1.5282
32,,0.43,1.5542,0.42,1.5251
33,,0.41,1.5543,0.43,1.5240
34,,0.41,1.5541,0.43,1.5237
35,,0.41,1.5539,0.43,1.5229
36,,0.41,1.5554,0.43,1.5227
37,,0.41,1.5529,0.44,1.5229
38,,0.41,1.5564,0.42,1.5231
39,,0.41,1.5543,0.43,1.5230
40,,0.41,1.5518,0.43,1.5229
41,,0.42,1.5545,0.43,1.5225
42,,0.41,1.5517,0.42,1.5223
43,,0.43,1.5522,0.43,1.5220
44,,0.41,1.5530,0.42,1.5217
45,,0.41,1.5558,0.43,1.5220
46,,0.41,1.5536,0.43,1.5217
47,,0.41,1.5542,0.43,1.5218
48,,0.42,1.5523,0.43,1.5218
49,,0.41,1.5537,0.42,1.5221
