,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,2.9466,0.56,5.6832
1,,0.56,3.2442,0.53,4.3504
2,,0.61,3.1330,0.38,4.5659
3,,0.59,3.2030,0.62,6.7887
4,,0.64,2.9305,0.55,3.5094
5,,0.67,2.2688,0.55,6.4787
6,,0.65,2.6575,0.39,9.7225
7,,0.63,3.1847,0.39,7.0029
8,,0.67,2.7756,0.48,5.0588
9,,0.68,2.4004,0.50,2.9876
10,,0.68,2.4221,0.61,3.3599
11,,0.71,2.1710,0.55,8.0350
12,,0.71,2.3653,0.66,2.7520
13,,0.71,2.2545,0.53,2.9446
14,,0.65,2.9934,0.61,2.7524
15,,0.71,2.5865,0.52,3.8106
16,,0.71,2.0585,0.69,2.8637
17,,0.71,2.0817,0.35,6.1708
18,,0.70,2.3197,0.52,4.4576
19,,0.70,2.4815,0.52,3.4174
20,,0.72,2.3147,0.55,3.9754
21,,0.74,1.9639,0.50,7.9130
22,,0.72,2.3690,0.71,1.6125
23,,0.75,1.8349,0.57,5.6022
24,,0.74,1.9254,0.56,6.0969
25,,0.73,2.2151,0.52,10.1123
26,,0.73,2.1060,0.57,3.1802
27,,0.72,2.1410,0.42,9.1221
28,,0.72,2.2066,0.55,10.7675
29,created new SGD optimizer with LR: 0.00100000000000000002,0.76,2.0077,0.70,2.0843
30,,0.75,1.8557,0.69,3.1973
31,,0.76,1.5417,0.71,1.5731
32,,0.77,1.3761,0.73,1.4570
33,,0.79,1.2603,0.73,1.7761
34,,0.78,1.3042,0.75,1.4787
35,,0.79,1.1361,0.74,1.3880
36,,0.80,1.1673,0.74,1.3907
37,,0.79,1.1402,0.76,1.3849
38,,0.79,1.1620,0.74,1.4034
39,,0.79,1.1282,0.75,1.3387
40,,0.78,1.0755,0.74,1.2960
41,,0.80,1.0540,0.72,1.2660
42,,0.79,1.0395,0.74,1.3400
43,,0.78,1.1771,0.74,1.3012
44,,0.81,1.0375,0.75,1.2541
45,,0.80,1.0496,0.71,1.2217
46,,0.80,1.0140,0.77,1.3497
47,,0.80,1.0671,0.75,1.4523
48,,0.79,1.0113,0.75,1.1528
49,,0.80,0.9411,0.75,1.6290
