,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.4218,0.25,5.0002
1,,0.46,1.4427,0.30,5.6972
2,,0.50,1.3820,0.16,2.6307
3,,0.52,1.2923,0.47,2.2005
4,,0.60,1.1016,0.30,2.0749
5,,0.56,1.2232,0.49,1.3910
6,,0.63,0.9751,0.58,2.0863
7,,0.70,0.8314,0.62,1.5063
8,,0.76,0.7105,0.52,2.2876
9,,0.79,0.6091,0.57,3.9305
10,,0.85,0.4264,0.62,1.7715
11,,0.88,0.3499,0.70,1.1568
12,,0.91,0.2797,0.68,1.3706
13,,0.97,0.0882,0.66,1.6295
14,,0.95,0.1589,0.48,4.3212
15,,0.95,0.1438,0.65,1.7119
16,,0.98,0.0512,0.68,1.5094
17,,0.99,0.0295,0.79,1.1735
18,,0.99,0.0294,0.67,2.0318
19,,0.98,0.0646,0.60,2.2031
20,,0.99,0.0470,0.79,0.8404
21,,1.00,0.0019,0.81,0.8197
22,,1.00,0.0004,0.82,0.8843
23,,1.00,0.0002,0.81,0.8967
24,,1.00,0.0002,0.80,0.8933
25,,1.00,0.0002,0.81,0.9124
26,,1.00,0.0001,0.80,0.9323
27,,1.00,0.0001,0.81,0.9509
28,,1.00,0.0001,0.79,0.9470
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0001,0.81,0.9604
30,,1.00,0.0001,0.81,0.9733
31,,1.00,0.0001,0.81,0.9749
32,,1.00,0.0001,0.81,0.9757
33,,1.00,0.0001,0.81,0.9746
34,,1.00,0.0001,0.81,0.9743
35,,1.00,0.0001,0.81,0.9749
36,,1.00,0.0001,0.81,0.9740
37,,1.00,0.0001,0.81,0.9756
38,,1.00,0.0001,0.81,0.9762
39,,1.00,0.0001,0.81,0.9771
40,,1.00,0.0001,0.81,0.9780
41,,1.00,0.0001,0.81,0.9783
42,,1.00,0.0001,0.81,0.9788
43,,1.00,0.0001,0.81,0.9795
44,,1.00,0.0001,0.81,0.9797
45,,1.00,0.0001,0.81,0.9810
46,,1.00,0.0001,0.81,0.9818
47,,1.00,0.0001,0.81,0.9823
48,,1.00,0.0001,0.81,0.9831
49,,1.00,0.0001,0.81,0.9826
