,notes,train_acc,train_loss,val_acc,val_loss
0,,0.53,1.4895,0.34,1.9658
1,,0.63,1.0770,0.58,1.3585
2,,0.64,1.0498,0.63,1.0784
3,,0.66,1.0457,0.56,1.5651
4,,0.74,0.7744,0.64,1.1277
5,,0.71,0.7838,0.62,1.1252
6,,0.73,0.7369,0.53,1.5479
7,,0.73,0.8067,0.46,1.5211
8,,0.73,0.7971,0.54,1.3407
9,,0.72,0.8672,0.65,1.0542
10,,0.75,0.7404,0.65,1.2762
11,,0.75,0.7842,0.57,1.5315
12,,0.77,0.7691,0.65,1.2193
13,,0.76,0.6719,0.36,2.1052
14,,0.75,0.8093,0.60,1.1598
15,,0.72,0.8453,0.63,1.4160
16,,0.75,0.7676,0.64,1.2001
17,,0.79,0.6054,0.69,1.0473
18,,0.78,0.6689,0.65,1.1388
19,,0.78,0.6275,0.64,1.6353
20,,0.75,0.7207,0.66,1.3466
21,,0.77,0.6277,0.35,2.4375
22,,0.75,0.7679,0.66,1.1103
23,,0.78,0.6753,0.68,0.9757
24,,0.79,0.6407,0.64,1.3408
25,,0.80,0.5868,0.64,1.6638
26,,0.80,0.6014,0.61,1.8840
27,,0.80,0.6096,0.64,1.1510
28,,0.78,0.6421,0.64,1.1451
29,created new SGD optimizer with LR: 0.00100000000000000002,0.78,0.7118,0.67,1.1608
30,,0.81,0.5517,0.66,1.2560
31,,0.80,0.5703,0.69,0.9886
32,,0.83,0.4839,0.68,1.2715
33,,0.82,0.4905,0.70,0.9240
34,,0.82,0.4792,0.67,0.9931
35,,0.82,0.5102,0.70,1.0147
36,,0.82,0.4784,0.69,1.2151
37,,0.80,0.5176,0.70,0.8643
38,,0.81,0.5106,0.65,0.9394
39,,0.83,0.4369,0.67,1.1505
40,,0.81,0.4795,0.68,1.0274
41,,0.81,0.4942,0.71,0.8908
42,,0.83,0.4400,0.70,1.0770
43,,0.83,0.4539,0.69,1.0436
44,,0.81,0.4942,0.68,1.0329
45,,0.80,0.5308,0.67,0.9785
46,,0.84,0.4149,0.68,1.1027
47,,0.85,0.4134,0.69,0.9060
48,,0.83,0.4408,0.71,0.9968
49,,0.82,0.4890,0.66,0.9869
