,notes,train_acc,train_loss,val_acc,val_loss
0,,0.64,1.0530,0.55,1.6690
1,,0.90,0.3095,0.57,3.0261
2,,0.94,0.2041,0.66,1.5701
3,,0.98,0.0877,0.70,1.1312
4,,0.98,0.0655,0.76,0.8552
5,,0.99,0.0238,0.68,1.7651
6,,0.99,0.0314,0.75,1.5115
7,,0.99,0.0205,0.78,0.9566
8,,1.00,0.0121,0.77,1.3268
9,,0.99,0.0171,0.78,1.4539
10,,0.99,0.0198,0.58,2.2142
11,,0.99,0.0442,0.80,0.9761
12,,0.99,0.0265,0.78,1.6254
13,,1.00,0.0137,0.83,0.6718
14,,1.00,0.0145,0.74,1.8019
15,,1.00,0.0042,0.75,1.3765
16,,1.00,0.0124,0.73,1.3641
17,,1.00,0.0045,0.79,0.9243
18,,1.00,0.0076,0.81,1.0902
19,,1.00,0.0014,0.80,1.3965
20,,1.00,0.0009,0.81,1.1121
21,,1.00,0.0017,0.74,1.6223
22,,1.00,0.0063,0.82,1.3560
23,,1.00,0.0016,0.83,1.5001
24,,1.00,0.0013,0.71,2.5278
25,,1.00,0.0024,0.79,1.9021
26,,1.00,0.0033,0.78,1.4401
27,,0.99,0.0167,0.76,1.5204
28,,1.00,0.0068,0.67,2.1897
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0016,0.76,2.2843
30,,1.00,0.0012,0.77,1.9907
31,,1.00,0.0027,0.81,1.6922
32,,1.00,0.0025,0.75,1.2274
33,,1.00,0.0003,0.77,1.4080
34,,1.00,0.0078,0.74,1.7441
35,,1.00,0.0006,0.80,1.1102
36,,1.00,0.0032,0.80,1.2910
37,,1.00,0.0027,0.81,1.2172
38,,1.00,0.0004,0.80,1.5821
39,,1.00,0.0008,0.77,2.1443
40,,1.00,0.0006,0.83,1.3261
41,,1.00,0.0007,0.82,1.4228
42,,1.00,0.0001,0.81,1.5379
43,,1.00,0.0046,0.83,1.2840
44,,1.00,0.0006,0.82,1.2204
45,,1.00,0.0026,0.81,1.0930
46,,1.00,0.0015,0.78,1.8996
47,,1.00,0.0016,0.76,1.3697
48,,1.00,0.0005,0.85,1.0157
49,,1.00,0.0033,0.84,0.9756
