,notes,train_acc,train_loss,val_acc,val_loss
0,,0.58,2.0312,0.44,9.9853
1,,0.63,3.0761,0.48,9.2257
2,,0.69,1.9118,0.29,8.2232
3,,0.75,1.3580,0.29,8.4725
4,,0.74,1.6504,0.54,6.3741
5,,0.75,1.3331,0.51,4.9653
6,,0.75,1.4968,0.65,3.8571
7,,0.79,1.0594,0.68,2.5551
8,,0.82,0.8615,0.42,5.1222
9,,0.79,1.2337,0.36,7.1770
10,,0.82,1.1783,0.47,6.8507
11,,0.83,0.8774,0.67,3.8176
12,,0.77,1.8328,0.54,3.5091
13,,0.82,0.9507,0.48,3.4647
14,,0.78,1.3356,0.63,3.2978
15,,0.83,0.8387,0.54,5.6678
16,,0.82,1.0373,0.61,3.9973
17,,0.80,1.3440,0.71,2.3020
18,,0.84,0.8247,0.70,2.5688
19,,0.86,0.7818,0.71,1.9304
20,,0.85,0.7851,0.49,8.0401
21,,0.83,1.0694,0.60,3.4965
22,,0.83,0.9439,0.34,10.8573
23,,0.83,1.1377,0.53,5.1139
24,,0.83,1.0542,0.63,3.9247
25,,0.87,0.7877,0.70,3.1205
26,,0.85,0.7410,0.50,4.8004
27,,0.86,0.7489,0.62,2.5825
28,,0.86,0.6647,0.49,4.8158
29,created new SGD optimizer with LR: 0.00100000000000000002,0.87,0.7007,0.67,4.2124
30,,0.88,0.5691,0.70,2.4341
31,,0.89,0.5359,0.81,1.1137
32,,0.90,0.4043,0.81,1.0765
33,,0.91,0.3934,0.79,1.0826
34,,0.91,0.3451,0.78,1.1055
35,,0.90,0.3521,0.80,0.9696
36,,0.92,0.2911,0.80,0.9524
37,,0.91,0.3340,0.78,0.9510
38,,0.91,0.3207,0.79,0.9445
39,,0.91,0.3289,0.78,0.9970
40,,0.92,0.2775,0.79,0.9518
41,,0.91,0.3379,0.82,0.9167
42,,0.91,0.3156,0.79,0.8697
43,,0.91,0.3251,0.82,0.8967
44,,0.91,0.3262,0.80,0.8931
45,,0.92,0.3256,0.82,0.9280
46,,0.92,0.2751,0.80,1.0168
47,,0.92,0.2995,0.82,0.9238
48,,0.91,0.3406,0.80,0.8535
49,,0.92,0.2802,0.78,0.9176
