,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,8.7804,0.33,190.3956
1,,0.40,5422.7730,0.43,451325.8057
2,,0.39,9370878.5459,0.23,46229606.5987
3,,0.39,1015006950.4527,0.27,52670120875.2102
4,,0.35,937991785646.4592,0.39,6746080384097.8340
5,,0.38,70979524629238.5156,0.43,1504437919797848.0000
6,,0.37,33707742144795304.0000,0.20,906113333774689920.0000
7,,0.40,31836280478940278784.0000,0.48,1442441721014575693824.0000
8,,0.40,5577655329564811853824.0000,0.33,134311293154575178006528.0000
9,,0.38,455187173953324319768576.0000,0.20,126891977058173249342406656.0000
10,,0.39,912138099046111794079727616.0000,0.34,16230934511749060083989872640.0000
11,,0.36,367527467206530799113120776192.0000,0.18,2641532313160817269888604176384.0000
12,,0.38,79061288684518992901512812822528.0000,0.37,4469598976639511960511312729997312.0000
13,,0.36,378784268339994137356020739511156736.0000,0.27,inf
14,,0.12,nan,0.02,nan
15,,0.02,nan,0.02,nan
16,,0.02,nan,0.02,nan
17,,0.02,nan,0.02,nan
18,,0.02,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.02,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.02,nan,0.02,nan
29,created new SGD optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.02,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.02,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
