,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.5333,0.24,9.6960
1,,0.44,1.9786,0.41,2.8652
2,,0.49,1.6488,0.44,3.3699
3,,0.44,1.8064,0.33,3.3973
4,,0.47,1.6020,0.30,1.7547
5,,0.46,1.6324,0.34,4.3736
6,,0.47,1.7536,0.34,3.2993
7,,0.45,1.6836,0.44,2.2087
8,,0.47,1.6118,0.37,3.9932
9,,0.46,1.6809,0.45,3.1625
10,,0.47,1.6320,0.21,3.7163
11,,0.48,1.6030,0.45,1.6845
12,,0.48,1.6266,0.37,1.8372
13,,0.45,1.5776,0.18,2.5954
14,,0.50,1.5992,0.42,5.9475
15,,0.48,1.6755,0.18,5.8345
16,,0.50,1.5940,0.43,5.2354
17,,0.46,1.7892,0.35,4.7542
18,,0.48,1.6501,0.35,3.4829
19,,0.46,1.7074,0.13,6.2059
20,,0.49,1.6679,0.46,2.6719
21,,0.53,1.4839,0.26,6.0481
22,,0.50,1.5675,0.14,3.9559
23,,0.52,1.5445,0.46,1.9977
24,,0.50,1.4221,0.42,2.9810
25,,0.49,1.5268,0.24,3.7102
26,,0.51,1.5168,0.20,4.0115
27,,0.47,1.6856,0.48,3.3748
28,,0.52,1.5171,0.39,2.2959
29,created new SGD optimizer with LR: 0.00100000000000000002,0.50,1.5326,0.39,2.3007
30,,0.53,1.5458,0.40,3.0066
31,,0.51,1.3395,0.47,1.4291
32,,0.56,1.2287,0.42,1.4826
33,,0.55,1.1712,0.42,1.4226
34,,0.53,1.1912,0.32,1.5794
35,,0.54,1.1605,0.40,1.5668
36,,0.54,1.1937,0.45,1.4594
37,,0.57,1.1613,0.51,1.4321
38,,0.54,1.1729,0.44,1.3667
39,,0.55,1.1646,0.49,1.2952
40,,0.56,1.1462,0.48,1.5390
41,,0.57,1.1104,0.51,1.3949
42,,0.55,1.1698,0.42,1.4169
43,,0.54,1.1756,0.45,1.3330
44,,0.58,1.1432,0.48,1.3819
45,,0.57,1.1510,0.24,1.9993
46,,0.56,1.1643,0.48,1.3312
47,,0.56,1.1182,0.42,1.4894
48,,0.59,1.1260,0.43,1.5553
49,,0.59,1.1119,0.35,1.5615
