,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5922,0.13,3.1185
1,,0.49,1.4932,0.43,4.6044
2,,0.52,1.4960,0.56,1.5182
3,,0.57,1.3055,0.26,3.2610
4,,0.55,1.3631,0.09,4.0924
5,,0.57,1.2328,0.36,1.8944
6,,0.61,1.1351,0.42,2.2349
7,,0.66,1.0020,0.52,2.3296
8,,0.67,0.9172,0.17,3.5672
9,,0.64,1.0646,0.43,2.1480
10,,0.67,0.8666,0.18,2.9969
11,,0.67,0.9564,0.50,2.2156
12,,0.73,0.7765,0.26,3.7753
13,,0.75,0.7260,0.46,3.6143
14,,0.74,0.7302,0.28,2.3919
15,,0.74,0.6717,0.31,2.8444
16,,0.72,0.8153,0.44,1.7408
17,,0.76,0.6170,0.35,3.7227
18,,0.77,0.6363,0.54,1.5367
19,,0.82,0.4785,0.55,2.0048
20,,0.81,0.5079,0.37,3.2721
21,,0.85,0.4131,0.61,1.8536
22,,0.87,0.3556,0.59,1.6595
23,,0.87,0.3427,0.44,2.0494
24,,0.88,0.3281,0.56,2.1571
25,,0.87,0.3669,0.48,2.5182
26,,0.89,0.2982,0.46,3.1553
27,,0.87,0.3519,0.54,3.5072
28,,0.88,0.3467,0.56,1.7982
29,created new SGD optimizer with LR: 0.00100000000000000002,0.95,0.1618,0.62,1.7597
30,,0.91,0.2289,0.48,3.6330
31,,0.90,0.3314,0.60,1.3623
32,,0.97,0.1115,0.60,1.4335
33,,0.97,0.1027,0.59,1.4263
34,,0.98,0.0805,0.59,1.5057
35,,0.98,0.0728,0.58,1.4793
36,,0.98,0.0712,0.59,1.4787
37,,0.98,0.0732,0.59,1.5619
38,,0.98,0.0688,0.61,1.4818
39,,0.99,0.0573,0.60,1.5116
40,,0.99,0.0576,0.60,1.5211
41,,0.99,0.0485,0.59,1.5392
42,,0.99,0.0537,0.61,1.5285
43,,0.99,0.0483,0.62,1.5397
44,,0.99,0.0498,0.62,1.5591
45,,0.99,0.0466,0.61,1.5364
46,,0.99,0.0462,0.61,1.5594
47,,0.99,0.0449,0.60,1.5498
48,,0.99,0.0418,0.61,1.5664
49,,0.99,0.0459,0.60,1.5623
