,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.5674,0.43,1.5657
1,,0.54,1.3878,0.42,11.8984
2,,0.40,1.9206,0.43,2.3436
3,,0.43,1.5366,0.39,1.8670
4,,0.52,1.3654,0.41,2.8240
5,,0.54,1.3450,0.46,1.5983
6,,0.52,1.2854,0.26,2.0363
7,,0.53,1.2561,0.06,3.2847
8,,0.52,1.3371,0.34,1.6400
9,,0.58,1.2055,0.24,18.5092
10,,0.53,1.8511,0.47,3.9469
11,,0.59,1.2594,0.24,12.6015
12,,0.52,1.8285,0.16,9.5350
13,,0.53,1.3991,0.41,2.7543
14,,0.57,1.2291,0.52,3.9180
15,,0.61,1.0996,0.46,1.4137
16,,0.59,1.1113,0.50,1.5294
17,,0.61,1.0598,0.46,2.7435
18,,0.58,1.1473,0.28,2.2575
19,,0.57,1.2582,0.46,2.0118
20,,0.59,1.1383,0.50,1.6826
21,,0.62,0.9990,0.44,3.9137
22,,0.63,1.0465,0.14,4.9173
23,,0.61,1.2208,0.51,3.1264
24,,0.59,1.2026,0.25,2.7768
25,,0.60,1.1326,0.49,2.2677
26,,0.63,0.9835,0.51,1.4087
27,,0.65,0.8591,0.12,4.2898
28,,0.63,1.1516,0.51,1.6600
29,created new SGD optimizer with LR: 0.00100000000000000002,0.65,0.9393,0.25,4.9259
30,,0.63,1.0528,0.43,2.5009
31,,0.69,0.8957,0.50,1.6643
32,,0.70,0.7496,0.49,1.7989
33,,0.72,0.7493,0.51,1.5943
34,,0.74,0.7335,0.56,1.5467
35,,0.72,0.7294,0.54,1.3514
36,,0.76,0.7079,0.53,2.0929
37,,0.73,0.7328,0.54,1.5736
38,,0.68,0.7775,0.47,1.4041
39,,0.69,0.7785,0.53,1.3384
40,,0.73,0.7569,0.53,2.0674
41,,0.74,0.7111,0.53,1.4902
42,,0.73,0.7058,0.54,1.3548
43,,0.76,0.6842,0.53,1.4638
44,,0.72,0.6977,0.51,1.3722
45,,0.73,0.7138,0.52,1.2475
46,,0.75,0.6762,0.57,1.4111
47,,0.72,0.7102,0.53,1.2933
48,,0.74,0.6658,0.50,1.3240
49,,0.73,0.6881,0.44,1.6180
