,notes,train_acc,train_loss,val_acc,val_loss
0,,0.45,1.5733,0.50,1.8078
1,,0.44,1.5425,0.18,2.0095
2,,0.50,1.3358,0.29,2.2339
3,,0.52,1.3564,0.51,1.5672
4,,0.52,1.2926,0.51,1.4162
5,,0.54,1.1947,0.26,1.7449
6,,0.53,1.2234,0.45,1.4507
7,,0.56,1.1561,0.38,1.7056
8,,0.59,1.1603,0.57,1.2784
9,,0.59,1.0765,0.56,1.4372
10,,0.57,1.1145,0.44,1.3250
11,,0.63,0.9611,0.42,1.5925
12,,0.60,1.0146,0.56,1.2197
13,,0.66,0.9041,0.52,1.3593
14,,0.63,0.9792,0.49,1.3891
15,,0.63,0.9245,0.53,1.2867
16,,0.63,0.9154,0.36,1.7227
17,,0.64,0.9329,0.54,1.3553
18,,0.69,0.8655,0.54,1.3670
19,,0.74,0.7133,0.56,1.2158
20,,0.75,0.7410,0.41,1.5797
21,,0.70,0.7534,0.45,1.5210
22,,0.69,0.8016,0.48,1.3641
23,,0.73,0.7563,0.33,1.6571
24,,0.74,0.7289,0.53,1.4332
25,,0.75,0.6844,0.51,1.3491
26,,0.77,0.6761,0.52,1.4710
27,,0.78,0.6244,0.41,1.8166
28,,0.80,0.5781,0.54,1.3481
29,created new SGD optimizer with LR: 0.00100000000000000002,0.83,0.5004,0.49,1.3382
30,,0.83,0.5475,0.43,1.5118
31,,0.84,0.4520,0.55,1.3536
32,,0.89,0.4129,0.56,1.3409
33,,0.89,0.3719,0.51,1.3650
34,,0.92,0.3595,0.52,1.3553
35,,0.91,0.3174,0.56,1.3836
36,,0.92,0.3318,0.53,1.4527
37,,0.94,0.2942,0.52,1.4629
38,,0.93,0.3187,0.49,1.5517
39,,0.91,0.3389,0.45,1.6092
40,,0.92,0.2905,0.50,1.4178
41,,0.93,0.3200,0.47,1.5125
42,,0.93,0.2958,0.52,1.3462
43,,0.96,0.2597,0.43,1.9624
44,,0.95,0.2456,0.48,1.3411
45,,0.96,0.2670,0.45,1.6232
46,,0.97,0.2374,0.43,1.7265
47,,0.94,0.2717,0.51,1.5657
48,,0.97,0.2389,0.51,1.3604
49,,0.94,0.2599,0.56,1.2865
