,notes,train_acc,train_loss,val_acc,val_loss
0,,0.44,1.5974,0.43,3.2536
1,,0.38,1.6754,0.43,1.5959
2,,0.41,1.5883,0.43,1.5658
3,,0.41,1.5623,0.43,1.6290
4,,0.39,1.5916,0.43,1.5508
5,,0.41,1.5778,0.43,1.5384
6,,0.43,1.5748,0.42,1.5600
7,,0.43,1.5885,0.43,1.5243
8,,0.41,1.5750,0.43,1.5345
9,,0.41,1.5624,0.42,1.5552
10,,0.43,1.5728,0.43,1.5261
11,,0.43,1.5529,0.43,1.5882
12,,0.41,1.5602,0.43,1.5336
13,,0.43,1.5633,0.43,1.5392
14,,0.39,1.5691,0.43,1.5375
15,,0.43,1.5604,0.43,1.5463
16,,0.41,1.5690,0.42,1.5332
17,,0.41,1.5744,0.42,1.5261
18,,0.39,1.5661,0.42,1.5333
19,,0.41,1.5732,0.43,1.5228
20,,0.43,1.5657,0.42,1.5334
21,,0.43,1.5669,0.42,1.5359
22,,0.45,1.5652,0.43,1.5223
23,,0.41,1.5653,0.42,1.5230
24,,0.41,1.5588,0.43,1.5217
25,,0.41,1.5628,0.43,1.5394
26,,0.43,1.5588,0.43,1.5263
27,,0.43,1.5618,0.42,1.5326
28,,0.41,1.5607,0.43,1.5226
29,created new Adam optimizer with LR: 0.00100000000000000002,0.39,1.5601,0.42,1.5351
30,,0.39,1.5635,0.43,1.5273
31,,0.43,1.5544,0.43,1.5260
32,,0.39,1.5529,0.43,1.5244
33,,0.39,1.5521,0.42,1.5244
34,,0.39,1.5520,0.43,1.5249
35,,0.43,1.5520,0.43,1.5247
36,,0.43,1.5512,0.42,1.5233
37,,0.41,1.5501,0.43,1.5229
38,,0.43,1.5509,0.43,1.5226
39,,0.45,1.5505,0.42,1.5220
40,,0.41,1.5503,0.43,1.5218
41,,0.43,1.5502,0.43,1.5218
42,,0.41,1.5508,0.43,1.5221
43,,0.39,1.5504,0.43,1.5227
44,,0.41,1.5503,0.43,1.5233
45,,0.45,1.5505,0.42,1.5222
46,,0.39,1.5501,0.43,1.5221
47,,0.39,1.5502,0.43,1.5228
48,,0.41,1.5501,0.43,1.5228
49,,0.39,1.5503,0.42,1.5222
