,notes,train_acc,train_loss,val_acc,val_loss
0,,0.61,1.1836,0.42,12.7658
1,,0.65,1.0754,0.42,2.0254
2,,0.70,0.9086,0.43,18.5444
3,,0.43,1.6841,0.48,2.1859
4,,0.61,1.1313,0.34,3.6324
5,,0.72,0.7895,0.39,2.0898
6,,0.67,0.9122,0.25,7.4597
7,,0.53,1.3575,0.53,3.2127
8,,0.75,0.7021,0.24,4.5225
9,,0.73,0.8166,0.56,1.5687
10,,0.85,0.4219,0.60,1.5910
11,,0.91,0.2735,0.66,1.5226
12,,0.87,0.4102,0.65,2.5359
13,,0.92,0.2456,0.68,1.8714
14,,0.96,0.1211,0.46,2.7848
15,,0.96,0.1285,0.56,2.2316
16,,0.97,0.0866,0.74,1.2420
17,,0.99,0.0436,0.73,1.4635
18,,1.00,0.0175,0.72,1.9970
19,,1.00,0.0145,0.65,2.9209
20,,1.00,0.0098,0.70,1.9724
21,,1.00,0.0113,0.74,1.7849
22,,1.00,0.0085,0.73,1.9487
23,,1.00,0.0054,0.74,1.8514
24,,1.00,0.0060,0.75,1.4605
25,,1.00,0.0012,0.74,1.6479
26,,1.00,0.0006,0.76,1.6322
27,,1.00,0.0003,0.75,1.7140
28,,1.00,0.0003,0.74,1.7511
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0003,0.73,1.7133
30,,1.00,0.0004,0.76,1.6334
31,,1.00,0.0007,0.76,1.6601
32,,1.00,0.0002,0.76,1.6658
33,,1.00,0.0003,0.77,1.6784
34,,1.00,0.0006,0.75,1.7060
35,,1.00,0.0002,0.74,1.7138
36,,1.00,0.0012,0.75,1.6972
37,,1.00,0.0006,0.75,1.6783
38,,1.00,0.0003,0.75,1.6906
39,,1.00,0.0004,0.75,1.7066
40,,1.00,0.0003,0.75,1.7011
41,,1.00,0.0003,0.76,1.6954
42,,1.00,0.0005,0.76,1.6792
43,,1.00,0.0003,0.76,1.6833
44,,1.00,0.0002,0.77,1.6824
45,,1.00,0.0002,0.76,1.6913
46,,1.00,0.0002,0.76,1.6975
47,,1.00,0.0002,0.76,1.7009
48,,1.00,0.0005,0.76,1.6895
49,,1.00,0.0002,0.77,1.6961
