,notes,train_acc,train_loss,val_acc,val_loss
0,,0.39,1.6952,0.02,1.9353
1,,0.37,1.6119,0.43,1.6134
2,,0.38,1.5992,0.43,1.6021
3,,0.41,1.5902,0.43,1.5503
4,,0.43,1.5735,0.43,1.5313
5,,0.41,1.5679,0.43,1.5700
6,,0.45,1.5791,0.43,1.5486
7,,0.43,1.5662,0.42,1.5227
8,,0.39,1.5674,0.43,1.5669
9,,0.43,1.5991,0.43,1.5269
10,,0.41,1.5644,0.43,1.5268
11,,0.41,1.5684,0.43,1.5247
12,,0.41,1.5659,0.43,1.5255
13,,0.41,1.5615,0.42,1.5271
14,,0.39,1.5639,0.42,1.5511
15,,0.39,1.5691,0.42,1.5270
16,,0.41,1.5700,0.43,1.5223
17,,0.41,1.5592,0.43,1.5231
18,,0.41,1.5670,0.42,1.5325
19,,0.41,1.5602,0.43,1.5628
20,,0.39,1.5699,0.43,1.5255
21,,0.36,1.5635,0.43,1.5530
22,,0.43,1.5620,0.43,1.5274
23,,0.41,1.5501,0.43,1.5419
24,,0.41,1.5653,0.43,1.5253
25,,0.41,1.5655,0.42,1.5225
26,,0.43,1.5610,0.43,1.5215
27,,0.43,1.5560,0.43,1.5234
28,,0.41,1.5618,0.42,1.5215
29,created new Adam optimizer with LR: 0.00100000000000000002,0.39,1.5598,0.43,1.5297
30,,0.45,1.5587,0.43,1.5224
31,,0.41,1.5527,0.42,1.5219
32,,0.39,1.5510,0.43,1.5215
33,,0.41,1.5501,0.42,1.5222
34,,0.39,1.5500,0.43,1.5224
35,,0.39,1.5499,0.42,1.5227
36,,0.41,1.5502,0.42,1.5232
37,,0.39,1.5499,0.42,1.5232
38,,0.41,1.5499,0.43,1.5231
39,,0.39,1.5498,0.43,1.5227
40,,0.43,1.5496,0.42,1.5220
41,,0.39,1.5493,0.43,1.5218
42,,0.43,1.5499,0.43,1.5220
43,,0.45,1.5497,0.43,1.5215
44,,0.43,1.5500,0.43,1.5213
45,,0.39,1.5502,0.43,1.5213
46,,0.41,1.5498,0.43,1.5215
47,,0.39,1.5503,0.43,1.5218
48,,0.41,1.5501,0.43,1.5219
49,,0.41,1.5505,0.43,1.5218
