,notes,train_acc,train_loss,val_acc,val_loss
0,,0.40,1.5783,0.24,3.0619
1,,0.43,1.5820,0.21,4.1560
2,,0.46,1.5486,0.42,4.9565
3,,0.39,1.6121,0.24,2.7765
4,,0.44,1.5283,0.46,1.9674
5,,0.48,1.3590,0.45,1.7321
6,,0.51,1.3879,0.19,3.3667
7,,0.41,1.5950,0.43,1.5293
8,,0.41,1.5597,0.42,1.5421
9,,0.39,1.5626,0.43,1.5287
10,,0.39,1.5621,0.42,1.5632
11,,0.38,1.5757,0.43,1.5242
12,,0.40,1.5490,0.43,1.5181
13,,0.45,1.4457,0.43,2.4143
14,,0.51,1.3359,0.04,4.0793
15,,0.56,1.2321,0.43,2.6384
16,,0.63,1.0639,0.45,1.9691
17,,0.60,1.1267,0.48,1.9581
18,,0.69,0.9039,0.45,3.5516
19,,0.67,0.8961,0.56,1.8987
20,,0.73,0.7503,0.48,1.6912
21,,0.81,0.5265,0.19,12.0841
22,,0.70,0.9104,0.47,2.0327
23,,0.80,0.5621,0.43,2.9128
24,,0.87,0.3692,0.61,2.1039
25,,0.92,0.2239,0.23,5.5604
26,,0.92,0.2436,0.64,1.3400
27,,0.94,0.1679,0.60,3.1753
28,,0.94,0.1838,0.63,1.5921
29,created new SGD optimizer with LR: 0.00100000000000000002,0.98,0.0749,0.67,1.9166
30,,0.98,0.0548,0.64,2.0277
31,,0.99,0.0350,0.70,1.7095
32,,1.00,0.0120,0.69,1.4890
33,,1.00,0.0101,0.67,1.5584
34,,1.00,0.0084,0.67,1.4969
35,,1.00,0.0053,0.69,1.5329
36,,1.00,0.0067,0.70,1.5260
37,,1.00,0.0041,0.70,1.4614
38,,1.00,0.0063,0.71,1.4925
39,,1.00,0.0054,0.70,1.4442
40,,1.00,0.0047,0.70,1.4667
41,,1.00,0.0038,0.70,1.4650
42,,1.00,0.0040,0.70,1.4920
43,,1.00,0.0045,0.71,1.4986
44,,1.00,0.0031,0.71,1.4961
45,,1.00,0.0041,0.71,1.5273
46,,1.00,0.0027,0.70,1.5373
47,,1.00,0.0029,0.69,1.5276
48,,1.00,0.0031,0.71,1.5595
49,,1.00,0.0021,0.70,1.5628
