,notes,train_acc,train_loss,val_acc,val_loss
0,,0.65,1.0916,0.59,1.4437
1,,0.91,0.2886,0.62,1.4286
2,,0.99,0.0697,0.72,0.9127
3,,0.99,0.0372,0.76,0.6457
4,,1.00,0.0310,0.74,0.7339
5,,0.99,0.0181,0.76,1.0788
6,,1.00,0.0241,0.78,0.7226
7,,1.00,0.0088,0.76,0.6566
8,,0.99,0.0134,0.63,1.5510
9,,0.98,0.0667,0.71,1.1082
10,,0.99,0.0255,0.69,1.4093
11,,1.00,0.0054,0.75,0.9462
12,,0.99,0.0115,0.75,1.2892
13,,0.98,0.0305,0.65,1.5618
14,,0.97,0.1177,0.72,1.3011
15,,0.99,0.0276,0.64,1.7544
16,,0.99,0.0232,0.74,1.0994
17,,1.00,0.0081,0.75,0.8822
18,,0.98,0.0266,0.67,1.0294
19,,0.99,0.0426,0.77,1.4405
20,,0.99,0.0208,0.65,2.0166
21,,0.98,0.0552,0.75,1.3473
22,,1.00,0.0133,0.73,1.2979
23,,0.99,0.0218,0.75,1.2673
24,,1.00,0.0078,0.80,1.2147
25,,1.00,0.0140,0.80,1.0654
26,,1.00,0.0127,0.78,1.0521
27,,1.00,0.0061,0.73,1.5703
28,,1.00,0.0041,0.75,2.0366
29,created new SGD optimizer with LR: 0.00100000000000000002,1.00,0.0029,0.70,1.8699
30,,1.00,0.0032,0.78,1.4369
31,,0.99,0.0126,0.71,2.8111
32,,1.00,0.0031,0.79,1.2438
33,,0.98,0.0156,0.78,1.3437
34,,0.98,0.0274,0.50,4.6190
35,,1.00,0.0016,0.79,1.3756
36,,1.00,0.0029,0.78,1.0401
37,,0.99,0.0124,0.71,1.8301
38,,1.00,0.0023,0.77,1.0818
39,,1.00,0.0057,0.78,1.3299
40,,1.00,0.0059,0.77,1.3207
41,,1.00,0.0025,0.72,1.6179
42,,1.00,0.0059,0.73,1.2883
43,,0.96,0.0166,0.77,1.4571
44,,1.00,0.0062,0.70,1.4558
45,,0.99,0.0107,0.76,1.2993
46,,1.00,0.0066,0.68,1.4216
47,,1.00,0.0130,0.67,1.8572
48,,0.99,0.0287,0.78,1.2136
49,,1.00,0.0028,0.79,1.0671
