,notes,train_acc,train_loss,val_acc,val_loss
0,,0.47,1.4838,0.43,7.2601
1,,0.50,1.4574,0.41,2.2286
2,,0.56,1.2170,0.49,2.0566
3,,0.61,1.0570,0.31,4.3943
4,,0.66,0.8921,0.24,6.5169
5,,0.75,0.7480,0.28,3.4223
6,,0.82,0.5307,0.23,5.8536
7,,0.85,0.4987,0.45,5.9972
8,,0.87,0.4164,0.44,2.9686
9,,0.92,0.2635,0.48,10.1830
10,,0.93,0.2180,0.34,5.8576
11,,0.91,0.2904,0.58,3.4201
12,,0.96,0.1437,0.60,2.8336
13,,0.90,0.3442,0.55,4.0153
14,,0.99,0.0483,0.57,5.8799
15,,0.98,0.0715,0.60,3.9368
16,,0.99,0.0212,0.77,2.1679
17,,0.99,0.0102,0.63,3.5197
18,,0.96,0.1526,0.48,3.6893
19,,0.98,0.0604,0.66,3.9824
20,,0.99,0.0180,0.73,2.2960
21,,0.98,0.0667,0.62,1.8418
22,,1.00,0.0036,0.58,2.8456
23,,1.00,0.0159,0.62,3.1723
24,,1.00,0.0079,0.65,2.7420
25,,0.99,0.0143,0.56,3.2075
26,,1.00,0.0072,0.65,2.8858
27,,1.00,0.0118,0.49,3.8156
28,,0.99,0.0506,0.37,13.4659
29,created new SGD optimizer with LR: 0.00100000000000000002,0.96,0.1451,0.57,2.7698
30,,0.99,0.0123,0.67,1.9958
31,,0.99,0.0505,0.66,2.1710
32,,1.00,0.0077,0.66,2.4368
33,,1.00,0.0098,0.70,1.9309
34,,1.00,0.0022,0.59,3.4060
35,,1.00,0.0080,0.62,2.7143
36,,1.00,0.0035,0.63,2.5506
37,,1.00,0.0054,0.70,2.0985
38,,1.00,0.0083,0.71,1.8678
39,,1.00,0.0012,0.60,2.1069
40,,1.00,0.0012,0.62,2.7972
41,,1.00,0.0005,0.71,2.0602
42,,1.00,0.0007,0.69,1.9300
43,,1.00,0.0008,0.67,2.4404
44,,1.00,0.0014,0.68,2.2604
45,,0.98,0.0208,0.70,2.3727
46,,0.98,0.0427,0.69,1.8805
47,,0.98,0.0163,0.65,2.7249
48,,0.99,0.0243,0.66,1.7973
49,,0.99,0.0099,0.62,2.5282
