,notes,train_acc,train_loss,val_acc,val_loss
0,,0.43,1.5819,0.37,1.7169
1,,0.52,1.4054,0.43,3.8621
2,,0.53,1.2977,0.43,2.2377
3,,0.53,1.2471,0.42,17.7948
4,,0.57,1.1021,0.43,6.4496
5,,0.62,1.0404,0.43,4.3546
6,,0.63,0.9592,0.45,5.0447
7,,0.70,0.7957,0.44,5.6106
8,,0.77,0.6503,0.41,8.4492
9,,0.79,0.5782,0.44,6.8878
10,,0.82,0.4907,0.51,5.1002
11,,0.81,0.5762,0.50,4.6442
12,,0.82,0.5018,0.52,3.2701
13,,0.90,0.2931,0.53,3.1359
14,,0.91,0.2629,0.65,2.3681
15,,0.92,0.2900,0.59,3.4610
16,,0.94,0.1930,0.51,8.4420
17,,0.93,0.2231,0.58,2.9962
18,,0.94,0.1843,0.53,5.5336
19,,0.93,0.2644,0.53,4.6672
20,,0.98,0.0869,0.64,4.0401
21,,0.99,0.0502,0.60,2.5698
22,,0.97,0.0888,0.66,3.4910
23,,0.98,0.0652,0.64,2.6208
24,,0.99,0.0463,0.67,2.2945
25,,0.97,0.0892,0.59,4.0685
26,,0.99,0.0445,0.67,1.7068
27,,1.00,0.0200,0.63,3.1276
28,,0.98,0.0685,0.60,3.0803
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0303,0.51,4.4711
30,,1.00,0.0223,0.65,3.0140
31,,0.98,0.0517,0.65,2.1650
32,,0.99,0.0240,0.65,2.9309
33,,1.00,0.0077,0.67,2.0334
34,,1.00,0.0184,0.66,2.4408
35,,0.99,0.0220,0.69,2.0593
36,,1.00,0.0070,0.63,2.8841
37,,0.99,0.0253,0.57,5.4209
38,,0.99,0.0255,0.60,3.7039
39,,1.00,0.0115,0.63,3.5738
40,,1.00,0.0086,0.56,3.8709
41,,0.99,0.0185,0.50,6.1736
42,,1.00,0.0217,0.61,2.9442
43,,1.00,0.0070,0.68,1.8445
44,,1.00,0.0068,0.70,1.3920
45,,0.99,0.0179,0.52,6.6317
46,,1.00,0.0129,0.59,4.2779
47,,1.00,0.0080,0.67,1.9311
48,,1.00,0.0078,0.66,2.1655
49,,0.99,0.0096,0.72,1.4773
