,notes,train_acc,train_loss,val_acc,val_loss
0,,0.49,1.4516,0.45,2.3522
1,,0.52,1.3358,0.47,2.7792
2,,0.61,1.1573,0.51,2.7851
3,,0.64,1.0507,0.56,1.7793
4,,0.75,0.7219,0.37,2.4085
5,,0.75,0.7627,0.50,1.9164
6,,0.80,0.6060,0.53,2.1736
7,,0.80,0.6325,0.52,2.4031
8,,0.90,0.3221,0.54,1.8663
9,,0.92,0.2510,0.59,1.3326
10,,0.95,0.1622,0.59,2.6460
11,,0.94,0.1860,0.61,1.5509
12,,0.97,0.1034,0.74,1.0678
13,,0.97,0.0951,0.68,2.5635
14,,0.98,0.0865,0.65,2.7063
15,,0.99,0.0450,0.72,1.3579
16,,0.97,0.0816,0.35,4.6334
17,,0.96,0.1486,0.66,2.5712
18,,0.99,0.0376,0.64,1.5765
19,,1.00,0.0195,0.70,1.4910
20,,0.99,0.0309,0.58,3.1582
21,,1.00,0.0201,0.64,1.8693
22,,0.98,0.0801,0.63,2.0779
23,,1.00,0.0141,0.73,1.4491
24,,1.00,0.0161,0.69,1.4974
25,,1.00,0.0166,0.72,2.0002
26,,0.99,0.0169,0.59,1.8915
27,,0.99,0.0195,0.68,2.5746
28,,1.00,0.0114,0.61,1.5466
29,created new SGD optimizer with LR: 0.00100000000000000002,0.99,0.0119,0.60,3.1374
30,,1.00,0.0279,0.74,1.6989
31,,0.99,0.0270,0.73,1.3559
32,,1.00,0.0110,0.69,1.5312
33,,0.99,0.0269,0.59,2.5064
34,,1.00,0.0137,0.59,2.6367
35,,0.95,0.1139,0.64,5.2087
36,,0.99,0.0156,0.66,2.1872
37,,0.98,0.0228,0.61,3.5412
38,,1.00,0.0060,0.57,2.3718
39,,0.99,0.0225,0.53,2.5021
40,,1.00,0.0096,0.69,1.9858
41,,1.00,0.0192,0.72,1.5380
42,,1.00,0.0054,0.61,1.8793
43,,0.99,0.0153,0.60,3.3085
44,,0.99,0.0171,0.51,3.4152
45,,0.98,0.0918,0.63,2.4004
46,,1.00,0.0154,0.66,1.7150
47,,0.99,0.0151,0.63,1.8941
48,,1.00,0.0117,0.65,1.5611
49,,1.00,0.0153,0.46,4.0015
