,notes,train_acc,train_loss,val_acc,val_loss
0,,0.55,1.3578,0.24,2.3055
1,,0.43,1.5790,0.24,1.8521
2,,0.39,1.6301,0.16,24.1168
3,,0.41,1.5998,0.25,169.2833
4,,0.40,1.5850,0.25,77.2898
5,,0.46,1.5410,0.24,36.4227
6,,0.44,1.5427,0.24,376.8051
7,,0.45,1.5317,0.43,1.5989
8,,0.47,1.5130,0.24,2.5596
9,,0.47,1.4694,0.43,3363.8704
10,,0.46,1.4896,0.24,1.7068
11,,0.42,1.5825,0.42,1.5458
12,,0.42,1.5294,0.42,1.5556
13,,0.48,1.4737,0.42,1.6263
14,,0.52,1.3801,0.24,2.2902
15,,0.51,1.4094,0.43,1.5832
16,,0.51,1.4231,0.43,2.3791
17,,0.53,1.3904,0.42,1.7643
18,,0.11,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.03,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.03,nan,0.02,nan
29,created new Adam optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.02,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.02,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
