,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.6047,0.43,1.5529
1,,0.40,1.5695,0.44,1.5332
2,,0.41,1.5721,0.42,1.5405
3,,0.42,1.5745,0.42,1.5416
4,,0.40,1.5596,0.43,1.5288
5,,0.42,1.5616,0.43,1.5215
6,,0.41,1.5618,0.43,1.5444
7,,0.40,1.5721,0.43,1.5521
8,,0.40,1.5677,0.43,1.5337
9,,0.41,1.5665,0.42,1.5222
10,,0.41,1.5614,0.43,1.5240
11,,0.42,1.5176,0.42,1.5720
12,,0.42,1.5422,0.43,1.5266
13,,0.41,1.5386,0.43,1.5657
14,,0.42,1.4937,0.43,1.5208
15,,0.43,1.4668,0.47,2.5828
16,,0.43,1.4572,0.44,1.4273
17,,0.43,1.4087,0.41,1.5355
18,,0.42,1.4716,0.43,1.5427
19,,0.43,1.3767,0.22,2.4674
20,,0.45,1.3115,0.40,1.4855
21,,0.47,1.3376,0.26,2.0970
22,,0.53,1.2631,0.53,2.0854
23,,0.54,1.2120,0.48,2.2566
24,,0.57,1.1393,0.48,2.5034
25,,0.60,1.0264,0.45,3.4793
26,,0.52,1.2209,0.51,2.2561
27,,0.63,0.9890,0.51,1.3582
28,,0.64,0.9559,0.44,1.3169
29,created new SGD optimizer with LR: 0.00100000000000000002,0.70,0.8164,0.39,3.4696
30,,0.72,0.7941,0.44,17.1036
31,,0.69,0.8671,0.54,1.1858
32,,0.86,0.3877,0.56,1.4808
33,,0.88,0.2919,0.57,1.4284
34,,0.92,0.2298,0.64,1.6580
35,,0.94,0.1622,0.62,1.7079
36,,0.94,0.1442,0.63,1.6841
37,,0.96,0.1071,0.63,2.1118
38,,0.97,0.0897,0.60,2.1343
39,,0.97,0.0868,0.60,2.3406
40,,0.98,0.0610,0.65,2.2952
41,,0.98,0.0638,0.63,2.5638
42,,0.98,0.0502,0.64,2.2876
43,,0.99,0.0437,0.63,2.6732
44,,0.99,0.0329,0.66,2.7413
45,,0.99,0.0342,0.63,2.5020
46,,0.99,0.0291,0.65,2.3587
47,,0.99,0.0209,0.67,2.4939
48,,0.99,0.0234,0.64,2.8606
49,,0.99,0.0233,0.64,2.7780
