,notes,train_acc,train_loss,val_acc,val_loss
0,,0.41,1.6545,0.25,1.5821
1,,0.39,1.6080,0.43,1.5833
2,,0.41,1.5815,0.43,1.5618
3,,0.40,1.5777,0.43,1.5428
4,,0.40,1.5696,0.43,1.5276
5,,0.41,1.5723,0.42,1.5233
6,,0.41,1.5710,0.42,1.5247
7,,0.42,1.5713,0.43,1.5315
8,,0.42,1.5677,0.43,1.5370
9,,0.41,1.5609,0.43,1.5657
10,,0.41,1.5676,0.42,1.5238
11,,0.41,1.5720,0.42,1.5315
12,,0.41,1.5612,0.43,1.5263
13,,0.43,1.5653,0.43,1.5360
14,,0.41,1.5647,0.43,1.5383
15,,0.41,1.5669,0.43,1.5267
16,,0.42,1.5637,0.43,1.5240
17,,0.41,1.5612,0.42,1.5224
18,,0.41,1.5622,0.42,1.5222
19,,0.41,1.5577,0.42,1.5284
20,,0.41,1.5593,0.43,1.5300
21,,0.41,1.5529,0.43,1.5296
22,,0.41,1.5663,0.43,1.5286
23,,0.41,1.5665,0.43,1.5227
24,,0.43,1.5599,0.43,1.5216
25,,0.41,1.5585,0.42,1.5238
26,,0.41,1.5573,0.43,1.5232
27,,0.41,1.5607,0.43,1.5219
28,,0.41,1.5609,0.43,1.5222
29,created new Adam optimizer with LR: 0.00100000000000000002,0.43,1.5587,0.42,1.5225
30,,0.41,1.5600,0.43,1.5231
31,,0.41,1.5502,0.42,1.5228
32,,0.41,1.5504,0.43,1.5228
33,,0.41,1.5500,0.43,1.5226
34,,0.41,1.5505,0.43,1.5223
35,,0.41,1.5498,0.42,1.5218
36,,0.41,1.5501,0.43,1.5220
37,,0.41,1.5497,0.43,1.5219
38,,0.41,1.5500,0.43,1.5222
39,,0.41,1.5501,0.42,1.5224
40,,0.41,1.5503,0.43,1.5222
41,,0.42,1.5499,0.43,1.5224
42,,0.42,1.5505,0.43,1.5220
43,,0.42,1.5500,0.43,1.5218
44,,0.41,1.5501,0.42,1.5217
45,,0.41,1.5499,0.43,1.5218
46,,0.42,1.5498,0.43,1.5216
47,,0.42,1.5500,0.42,1.5216
48,,0.41,1.5497,0.43,1.5215
49,,0.41,1.5496,0.42,1.5218
