,notes,train_acc,train_loss,val_acc,val_loss
0,,0.42,1.6201,0.37,2.1866
1,,0.44,1.5132,0.43,1.7224
2,,0.51,1.5270,0.42,3.7038
3,,0.45,1.5368,0.43,1.6096
4,,0.45,1.4865,0.41,2.4288
5,,0.53,1.4076,0.05,3.5932
6,,0.50,1.4854,0.43,1.7011
7,,0.53,1.3348,0.16,135.3648
8,,0.48,1.4007,0.30,1.7285
9,,0.49,1.4203,0.41,1.7488
10,,0.05,nan,0.02,nan
11,,0.02,nan,0.02,nan
12,,0.02,nan,0.02,nan
13,,0.02,nan,0.02,nan
14,,0.02,nan,0.02,nan
15,,0.02,nan,0.02,nan
16,,0.02,nan,0.02,nan
17,,0.02,nan,0.02,nan
18,,0.02,nan,0.02,nan
19,,0.02,nan,0.02,nan
20,,0.02,nan,0.02,nan
21,,0.02,nan,0.02,nan
22,,0.02,nan,0.02,nan
23,,0.02,nan,0.02,nan
24,,0.02,nan,0.02,nan
25,,0.02,nan,0.02,nan
26,,0.02,nan,0.02,nan
27,,0.02,nan,0.02,nan
28,,0.02,nan,0.02,nan
29,created new Adam optimizer with LR: 0.00100000000000000002,0.02,nan,0.02,nan
30,,0.02,nan,0.02,nan
31,,0.02,nan,0.02,nan
32,,0.02,nan,0.02,nan
33,,0.02,nan,0.02,nan
34,,0.02,nan,0.02,nan
35,,0.02,nan,0.02,nan
36,,0.02,nan,0.02,nan
37,,0.02,nan,0.02,nan
38,,0.02,nan,0.02,nan
39,,0.02,nan,0.02,nan
40,,0.02,nan,0.02,nan
41,,0.02,nan,0.02,nan
42,,0.02,nan,0.02,nan
43,,0.02,nan,0.02,nan
44,,0.02,nan,0.02,nan
45,,0.02,nan,0.02,nan
46,,0.02,nan,0.02,nan
47,,0.03,nan,0.02,nan
48,,0.02,nan,0.02,nan
49,,0.02,nan,0.02,nan
