,notes,train_acc,train_loss,val_acc,val_loss
0,,0.37,1.6249,0.43,2.0343
1,,0.40,1.6169,0.43,1.5896
2,,0.42,4.4966,0.42,1.7340
3,,0.40,1.5767,0.43,1.5368
4,,0.40,1.5662,0.42,1.5366
5,,0.41,1.5804,0.43,1.5417
6,,0.41,1.5692,0.42,1.5268
7,,0.41,1.5635,0.43,1.5542
8,,0.41,1.5698,0.43,1.5519
9,,0.41,1.5652,0.42,1.5377
10,,0.41,1.5678,0.42,1.5550
11,,0.41,1.5702,0.43,1.5249
12,,0.41,1.5610,0.43,1.5537
13,,0.41,1.5708,0.42,1.5290
14,,0.42,1.5608,0.42,1.5552
15,,0.41,1.5629,0.43,1.5246
16,,0.41,1.5635,0.43,1.5251
17,,0.41,1.5664,0.43,1.5296
18,,0.42,1.5554,0.43,1.5297
19,,0.43,1.5613,0.42,1.5326
20,,0.42,1.5579,0.42,1.5268
21,,0.41,1.5655,0.42,1.5232
22,,0.42,1.5642,0.42,1.5217
23,,0.41,1.5641,0.43,1.5285
24,,0.42,1.5621,0.43,1.5236
25,,0.41,1.5519,0.43,1.5359
26,,0.41,1.5673,0.43,1.5256
27,,0.41,1.5626,0.43,1.5290
28,,0.42,1.5565,0.43,1.5344
29,created new Adam optimizer with LR: 0.00100000000000000002,0.41,1.5619,0.42,1.5221
30,,0.41,1.5611,0.43,1.5289
31,,0.42,1.5548,0.42,1.5263
32,,0.41,1.5520,0.42,1.5242
33,,0.41,1.5516,0.43,1.5231
34,,0.41,1.5510,0.43,1.5225
35,,0.41,1.5507,0.43,1.5222
36,,0.41,1.5507,0.43,1.5221
37,,0.42,1.5505,0.42,1.5224
38,,0.42,1.5506,0.43,1.5217
39,,0.42,1.5506,0.43,1.5214
40,,0.42,1.5500,0.43,1.5215
41,,0.42,1.5505,0.43,1.5215
42,,0.41,1.5501,0.43,1.5216
43,,0.42,1.5504,0.43,1.5217
44,,0.41,1.5503,0.42,1.5222
45,,0.41,1.5510,0.43,1.5220
46,,0.41,1.5504,0.43,1.5220
47,,0.41,1.5508,0.43,1.5219
48,,0.41,1.5504,0.43,1.5218
49,,0.41,1.5505,0.43,1.5221
